Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[71]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:02:21.015625000       2.350260417
GroundStation1 --> scFormation[70]         Jan 01 2024 00:02:09.687500000   Jan 01 2024 00:05:59.472656250       3.829752604
GroundStation1 --> scFormation[69]         Jan 01 2024 00:05:48.339843750   Jan 01 2024 00:09:38.027343750       3.828125000
GroundStation1 --> scFormation[68]         Jan 01 2024 00:09:26.992187500   Jan 01 2024 00:13:16.484375000       3.824869792
GroundStation1 --> scFormation[67]         Jan 01 2024 00:13:05.742187500   Jan 01 2024 00:16:55.039062500       3.821614583
GroundStation1 --> scFormation[66]         Jan 01 2024 00:16:44.394531250   Jan 01 2024 00:20:33.593750000       3.819986979
GroundStation1 --> scFormation[65]         Jan 01 2024 00:20:23.046875000   Jan 01 2024 00:24:12.246093750       3.819986979
GroundStation1 --> scFormation[64]         Jan 01 2024 00:24:01.699218750   Jan 01 2024 00:27:50.800781250       3.818359375
GroundStation1 --> scFormation[95]         Jan 01 2024 00:27:40.253906250   Jan 01 2024 00:31:29.453125000       3.819986979
GroundStation1 --> scFormation[94]         Jan 01 2024 00:31:18.906250000   Jan 01 2024 00:35:08.105468750       3.819986979
GroundStation1 --> scFormation[93]         Jan 01 2024 00:34:57.460937500   Jan 01 2024 00:38:46.757812500       3.821614583
GroundStation1 --> scFormation[92]         Jan 01 2024 00:38:36.015625000   Jan 01 2024 00:42:25.410156250       3.823242188
GroundStation1 --> scFormation[91]         Jan 01 2024 00:42:14.570312500   Jan 01 2024 00:46:04.062500000       3.824869792
GroundStation1 --> scFormation[90]         Jan 01 2024 00:45:53.125000000   Jan 01 2024 00:49:42.812500000       3.828125000
GroundStation1 --> scFormation[89]         Jan 01 2024 00:49:31.582031250   Jan 01 2024 00:53:21.464843750       3.831380208
GroundStation1 --> scFormation[88]         Jan 01 2024 00:53:10.136718750   Jan 01 2024 00:57:00.117187500       3.833007813
GroundStation1 --> scFormation[87]         Jan 01 2024 00:56:48.593750000   Jan 01 2024 01:00:38.769531250       3.836263021
GroundStation1 --> scFormation[86]         Jan 01 2024 01:00:27.050781250   Jan 01 2024 01:04:17.421875000       3.839518229
GroundStation1 --> scFormation[85]         Jan 01 2024 01:04:05.507812500   Jan 01 2024 01:07:56.074218750       3.842773438
GroundStation1 --> scFormation[84]         Jan 01 2024 01:07:43.964843750   Jan 01 2024 01:11:34.726562500       3.846028646
GroundStation1 --> scFormation[83]         Jan 01 2024 01:11:22.421875000   Jan 01 2024 01:15:13.281250000       3.847656250
GroundStation1 --> scFormation[82]         Jan 01 2024 01:15:00.781250000   Jan 01 2024 01:18:51.835937500       3.850911458
GroundStation1 --> scFormation[81]         Jan 01 2024 01:18:39.238281250   Jan 01 2024 01:22:30.292968750       3.850911458
GroundStation1 --> scFormation[80]         Jan 01 2024 01:22:17.695312500   Jan 01 2024 01:26:08.750000000       3.850911458
GroundStation1 --> scFormation[79]         Jan 01 2024 01:25:56.250000000   Jan 01 2024 01:29:47.109375000       3.847656250
GroundStation1 --> scFormation[78]         Jan 01 2024 01:29:34.707031250   Jan 01 2024 01:33:25.371093750       3.844401042
GroundStation1 --> scFormation[77]         Jan 01 2024 01:33:13.261718750   Jan 01 2024 01:37:03.632812500       3.839518229
GroundStation1 --> scFormation[76]         Jan 01 2024 01:36:51.816406250   Jan 01 2024 01:40:41.699218750       3.831380208
GroundStation1 --> scFormation[75]         Jan 01 2024 01:40:30.468750000   Jan 01 2024 01:44:19.765625000       3.821614583
GroundStation1 --> scFormation[74]         Jan 01 2024 01:44:09.121093750   Jan 01 2024 01:47:57.636718750       3.808593750
GroundStation1 --> scFormation[73]         Jan 01 2024 01:47:47.773437500   Jan 01 2024 01:51:35.410156250       3.793945313
GroundStation1 --> scFormation[72]         Jan 01 2024 01:51:26.621093750   Jan 01 2024 01:55:13.085937500       3.774414063
GroundStation1 --> scFormation[71]         Jan 01 2024 01:55:05.468750000   Jan 01 2024 01:58:50.566406250       3.751627604
GroundStation1 --> scFormation[70]         Jan 01 2024 01:58:44.511718750   Jan 01 2024 02:02:27.949218750       3.723958333
GroundStation1 --> scFormation[69]         Jan 01 2024 02:02:23.554687500   Jan 01 2024 02:06:05.039062500       3.691406250
GroundStation1 --> scFormation[68]         Jan 01 2024 02:06:02.792968750   Jan 01 2024 02:09:42.031250000       3.653971354
GroundStation1 --> scFormation[67]         Jan 01 2024 02:09:42.128906250   Jan 01 2024 02:13:18.730468750       3.610026042
GroundStation1 --> scFormation[66]         Jan 01 2024 02:13:21.562500000   Jan 01 2024 02:16:55.332031250       3.562825521
GroundStation1 --> scFormation[65]         Jan 01 2024 02:17:01.289062500   Jan 01 2024 02:20:31.542968750       3.504231771
GroundStation1 --> scFormation[64]         Jan 01 2024 02:20:41.113281250   Jan 01 2024 02:24:07.558593750       3.440755208
GroundStation1 --> scFormation[95]         Jan 01 2024 02:24:21.230468750   Jan 01 2024 02:27:43.281250000       3.367513021
GroundStation1 --> scFormation[94]         Jan 01 2024 02:28:01.542968750   Jan 01 2024 02:31:18.613281250       3.284505208
GroundStation1 --> scFormation[120]        Jan 01 2024 02:32:04.121093750   Jan 01 2024 02:32:51.191406250       0.784505208
GroundStation1 --> scFormation[93]         Jan 01 2024 02:31:42.246093750   Jan 01 2024 02:34:53.554687500       3.188476563
GroundStation1 --> scFormation[119]        Jan 01 2024 02:35:22.851562500   Jan 01 2024 02:36:47.128906250       1.404622396
GroundStation1 --> scFormation[92]         Jan 01 2024 02:35:23.144531250   Jan 01 2024 02:38:28.105468750       3.082682292
