Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[62]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:00:56.152343750       0.935872396
GroundStation1 --> scFormation[61]         Jan 01 2024 00:01:23.300781250   Jan 01 2024 00:05:05.664062500       3.706054688
GroundStation1 --> scFormation[60]         Jan 01 2024 00:05:33.398437500   Jan 01 2024 00:09:15.273437500       3.697916667
GroundStation1 --> scFormation[59]         Jan 01 2024 00:09:43.496093750   Jan 01 2024 00:13:24.882812500       3.689778646
GroundStation1 --> scFormation[58]         Jan 01 2024 00:13:53.496093750   Jan 01 2024 00:17:34.589843750       3.684895833
GroundStation1 --> scFormation[57]         Jan 01 2024 00:18:03.496093750   Jan 01 2024 00:21:44.296875000       3.680013021
GroundStation1 --> scFormation[56]         Jan 01 2024 00:22:13.496093750   Jan 01 2024 00:25:54.101562500       3.676757813
GroundStation1 --> scFormation[83]         Jan 01 2024 00:26:23.398437500   Jan 01 2024 00:30:04.003906250       3.676757813
GroundStation1 --> scFormation[82]         Jan 01 2024 00:30:33.203125000   Jan 01 2024 00:34:13.906250000       3.678385417
GroundStation1 --> scFormation[81]         Jan 01 2024 00:34:43.007812500   Jan 01 2024 00:38:23.808593750       3.680013021
GroundStation1 --> scFormation[80]         Jan 01 2024 00:38:52.714843750   Jan 01 2024 00:42:33.808593750       3.684895833
GroundStation1 --> scFormation[79]         Jan 01 2024 00:43:02.324218750   Jan 01 2024 00:46:43.906250000       3.693033854
GroundStation1 --> scFormation[78]         Jan 01 2024 00:47:11.933593750   Jan 01 2024 00:50:54.003906250       3.701171875
GroundStation1 --> scFormation[77]         Jan 01 2024 00:51:21.542968750   Jan 01 2024 00:55:04.101562500       3.709309896
GroundStation1 --> scFormation[76]         Jan 01 2024 00:55:31.054687500   Jan 01 2024 00:59:14.296875000       3.720703125
GroundStation1 --> scFormation[75]         Jan 01 2024 00:59:40.468750000   Jan 01 2024 01:03:24.394531250       3.732096354
GroundStation1 --> scFormation[74]         Jan 01 2024 01:03:49.882812500   Jan 01 2024 01:07:34.589843750       3.745117188
GroundStation1 --> scFormation[73]         Jan 01 2024 01:07:59.199218750   Jan 01 2024 01:11:44.785156250       3.759765625
GroundStation1 --> scFormation[72]         Jan 01 2024 01:12:08.515625000   Jan 01 2024 01:15:54.882812500       3.772786458
GroundStation1 --> scFormation[71]         Jan 01 2024 01:16:17.832031250   Jan 01 2024 01:20:04.980468750       3.785807292
GroundStation1 --> scFormation[70]         Jan 01 2024 01:20:27.148437500   Jan 01 2024 01:24:15.078125000       3.798828125
GroundStation1 --> scFormation[69]         Jan 01 2024 01:24:36.464843750   Jan 01 2024 01:28:25.078125000       3.810221354
GroundStation1 --> scFormation[68]         Jan 01 2024 01:28:45.683593750   Jan 01 2024 01:32:34.980468750       3.821614583
GroundStation1 --> scFormation[67]         Jan 01 2024 01:32:55.000000000   Jan 01 2024 01:36:44.882812500       3.831380208
GroundStation1 --> scFormation[66]         Jan 01 2024 01:37:04.316406250   Jan 01 2024 01:40:54.589843750       3.837890625
GroundStation1 --> scFormation[65]         Jan 01 2024 01:41:13.632812500   Jan 01 2024 01:45:04.296875000       3.844401042
GroundStation1 --> scFormation[64]         Jan 01 2024 01:45:23.046875000   Jan 01 2024 01:49:13.808593750       3.846028646
GroundStation1 --> scFormation[63]         Jan 01 2024 01:49:32.460937500   Jan 01 2024 01:53:23.222656250       3.846028646
GroundStation1 --> scFormation[62]         Jan 01 2024 01:53:41.972656250   Jan 01 2024 01:57:32.441406250       3.841145833
GroundStation1 --> scFormation[61]         Jan 01 2024 01:57:51.582031250   Jan 01 2024 02:01:41.464843750       3.831380208
GroundStation1 --> scFormation[60]         Jan 01 2024 02:02:01.289062500   Jan 01 2024 02:05:50.292968750       3.816731771
GroundStation1 --> scFormation[59]         Jan 01 2024 02:06:11.093750000   Jan 01 2024 02:09:58.925781250       3.797200521
GroundStation1 --> scFormation[58]         Jan 01 2024 02:10:20.996093750   Jan 01 2024 02:14:07.265625000       3.771158854
GroundStation1 --> scFormation[57]         Jan 01 2024 02:14:31.093750000   Jan 01 2024 02:18:15.410156250       3.738606771
GroundStation1 --> scFormation[107]        Jan 01 2024 02:21:09.921875000   Jan 01 2024 02:21:38.632812500       0.478515625
GroundStation1 --> scFormation[56]         Jan 01 2024 02:18:41.386718750   Jan 01 2024 02:22:23.261718750       3.697916667
GroundStation1 --> scFormation[83]         Jan 01 2024 02:22:51.875000000   Jan 01 2024 02:26:30.722656250       3.647460938
GroundStation1 --> scFormation[106]        Jan 01 2024 02:24:50.917968750   Jan 01 2024 02:26:13.925781250       1.383463542
GroundStation1 --> scFormation[82]         Jan 01 2024 02:27:02.656250000   Jan 01 2024 02:30:37.890625000       3.587239583
GroundStation1 --> scFormation[105]        Jan 01 2024 02:28:44.804687500   Jan 01 2024 02:30:36.523437500       1.861979167
GroundStation1 --> scFormation[81]         Jan 01 2024 02:31:13.632812500   Jan 01 2024 02:34:44.667968750       3.517252604
GroundStation1 --> scFormation[104]        Jan 01 2024 02:32:42.597656250   Jan 01 2024 02:34:55.214843750       2.210286458
GroundStation1 --> scFormation[80]         Jan 01 2024 02:35:25.000000000   Jan 01 2024 02:38:50.957031250       3.432617188
GroundStation1 --> scFormation[103]        Jan 01 2024 02:36:42.636718750   Jan 01 2024 02:39:11.855468750       2.486979167
GroundStation1 --> scFormation[79]         Jan 01 2024 02:39:36.660156250   Jan 01 2024 02:42:56.757812500       3.334960938
GroundStation1 --> scFormation[102]        Jan 01 2024 02:40:44.238281250   Jan 01 2024 02:43:27.128906250       2.714843750
GroundStation1 --> scFormation[78]         Jan 01 2024 02:43:48.808593750   Jan 01 2024 02:47:02.070312500       3.221028646
GroundStation1 --> scFormation[101]        Jan 01 2024 02:44:47.011718750   Jan 01 2024 02:47:41.328125000       2.905273438
GroundStation1 --> scFormation[77]         Jan 01 2024 02:48:01.445312500   Jan 01 2024 02:51:06.699218750       3.087565104
GroundStation1 --> scFormation[100]        Jan 01 2024 02:48:50.664062500   Jan 01 2024 02:51:54.648437500       3.066406250
GroundStation1 --> scFormation[76]         Jan 01 2024 02:52:14.667968750   Jan 01 2024 02:55:10.644531250       2.932942708
GroundStation1 --> scFormation[99]         Jan 01 2024 02:52:55.195312500   Jan 01 2024 02:56:07.382812500       3.203125000
GroundStation1 --> scFormation[75]         Jan 01 2024 02:56:28.671875000   Jan 01 2024 02:59:13.710937500       2.750651042
GroundStation1 --> scFormation[98]         Jan 01 2024 02:57:00.312500000   Jan 01 2024 03:00:19.628906250       3.321940104
GroundStation1 --> scFormation[74]         Jan 01 2024 03:00:43.652343750   Jan 01 2024 03:03:15.605468750       2.532552083
GroundStation1 --> scFormation[97]         Jan 01 2024 03:01:05.917968750   Jan 01 2024 03:04:31.386718750       3.424479167
GroundStation1 --> scFormation[73]         Jan 01 2024 03:04:59.902343750   Jan 01 2024 03:07:16.132812500       2.270507813
GroundStation1 --> scFormation[96]         Jan 01 2024 03:05:12.207031250   Jan 01 2024 03:08:42.753906250       3.509114583
GroundStation1 --> scFormation[72]         Jan 01 2024 03:09:18.007812500   Jan 01 2024 03:11:14.707031250       1.944986979
GroundStation1 --> scFormation[95]         Jan 01 2024 03:09:18.789062500   Jan 01 2024 03:12:53.730468750       3.582356771
GroundStation1 --> scFormation[71]         Jan 01 2024 03:13:39.335937500   Jan 01 2024 03:15:09.863281250       1.508789063
GroundStation1 --> scFormation[94]         Jan 01 2024 03:13:25.859375000   Jan 01 2024 03:17:04.511718750       3.644205729
GroundStation1 --> scFormation[70]         Jan 01 2024 03:18:08.867187500   Jan 01 2024 03:18:56.718750000       0.797526042
GroundStation1 --> scFormation[93]         Jan 01 2024 03:17:33.320312500   Jan 01 2024 03:21:15.000000000       3.694661458
GroundStation1 --> scFormation[92]         Jan 01 2024 03:21:41.074218750   Jan 01 2024 03:25:25.292968750       3.736979167
GroundStation1 --> scFormation[91]         Jan 01 2024 03:25:49.121093750   Jan 01 2024 03:29:35.390625000       3.771158854
GroundStation1 --> scFormation[90]         Jan 01 2024 03:29:57.460937500   Jan 01 2024 03:33:45.292968750       3.797200521
GroundStation1 --> scFormation[89]         Jan 01 2024 03:34:05.996093750   Jan 01 2024 03:37:55.097656250       3.818359375
GroundStation1 --> scFormation[88]         Jan 01 2024 03:38:14.824218750   Jan 01 2024 03:42:04.707031250       3.831380208
GroundStation1 --> scFormation[87]         Jan 01 2024 03:42:23.847656250   Jan 01 2024 03:46:14.316406250       3.841145833
GroundStation1 --> scFormation[86]         Jan 01 2024 03:46:33.066406250   Jan 01 2024 03:50:23.730468750       3.844401042
GroundStation1 --> scFormation[85]         Jan 01 2024 03:50:42.382812500   Jan 01 2024 03:54:33.144531250       3.846028646
GroundStation1 --> scFormation[84]         Jan 01 2024 03:54:51.894531250   Jan 01 2024 03:58:42.460937500       3.842773438
GroundStation1 --> scFormation[111]        Jan 01 2024 04:00:41.503906250   Jan 01 2024 04:04:31.484375000       3.833007813
GroundStation1 --> scFormation[110]        Jan 01 2024 04:03:11.406250000   Jan 01 2024 04:07:00.996093750       3.826497396
GroundStation1 --> scFormation[109]        Jan 01 2024 04:07:21.210937500   Jan 01 2024 04:11:10.214843750       3.816731771
GroundStation1 --> scFormation[108]        Jan 01 2024 04:11:31.210937500   Jan 01 2024 04:15:19.433593750       3.803710938
GroundStation1 --> scFormation[107]        Jan 01 2024 04:15:41.308593750   Jan 01 2024 04:19:28.652343750       3.789062500
GroundStation1 --> scFormation[106]        Jan 01 2024 04:19:51.406250000   Jan 01 2024 04:23:37.871093750       3.774414063
GroundStation1 --> scFormation[105]        Jan 01 2024 04:24:01.503906250   Jan 01 2024 04:27:47.089843750       3.759765625
GroundStation1 --> scFormation[104]        Jan 01 2024 04:28:11.699218750   Jan 01 2024 04:31:56.308593750       3.743489583
GroundStation1 --> scFormation[103]        Jan 01 2024 04:32:21.894531250   Jan 01 2024 04:36:05.625000000       3.728841146
GroundStation1 --> scFormation[102]        Jan 01 2024 04:36:32.089843750   Jan 01 2024 04:40:14.941406250       3.714192708
GroundStation1 --> scFormation[101]        Jan 01 2024 04:40:42.285156250   Jan 01 2024 04:44:24.355468750       3.701171875
GroundStation1 --> scFormation[100]        Jan 01 2024 04:44:52.480468750   Jan 01 2024 04:48:33.769531250       3.688151042
GroundStation1 --> scFormation[99]         Jan 01 2024 04:49:02.675781250   Jan 01 2024 04:52:43.281250000       3.676757813
GroundStation1 --> scFormation[98]         Jan 01 2024 04:53:12.871093750   Jan 01 2024 04:56:52.792968750       3.665364583
GroundStation1 --> scFormation[97]         Jan 01 2024 04:57:22.968750000   Jan 01 2024 05:01:02.402343750       3.657226563
GroundStation1 --> scFormation[96]         Jan 01 2024 05:01:32.968750000   Jan 01 2024 05:05:12.109375000       3.652343750
GroundStation1 --> scFormation[95]         Jan 01 2024 05:05:43.066406250   Jan 01 2024 05:09:21.816406250       3.645833333
GroundStation1 --> scFormation[94]         Jan 01 2024 05:09:52.968750000   Jan 01 2024 05:13:31.621093750       3.644205729
GroundStation1 --> scFormation[93]         Jan 01 2024 05:14:02.871093750   Jan 01 2024 05:17:41.425781250       3.642578125
GroundStation1 --> scFormation[92]         Jan 01 2024 05:18:12.675781250   Jan 01 2024 05:21:51.425781250       3.645833333
GroundStation1 --> scFormation[91]         Jan 01 2024 05:22:22.480468750   Jan 01 2024 05:26:01.328125000       3.647460938
GroundStation1 --> scFormation[90]         Jan 01 2024 05:26:32.187500000   Jan 01 2024 05:30:11.425781250       3.653971354
GroundStation1 --> scFormation[89]         Jan 01 2024 05:30:41.796875000   Jan 01 2024 05:34:21.523437500       3.662109375
GroundStation1 --> scFormation[88]         Jan 01 2024 05:34:51.406250000   Jan 01 2024 05:38:31.621093750       3.670247396
GroundStation1 --> scFormation[87]         Jan 01 2024 05:39:00.917968750   Jan 01 2024 05:42:41.816406250       3.681640625
GroundStation1 --> scFormation[86]         Jan 01 2024 05:43:10.332031250   Jan 01 2024 05:46:52.011718750       3.694661458
GroundStation1 --> scFormation[85]         Jan 01 2024 05:47:19.746093750   Jan 01 2024 05:51:02.207031250       3.707682292
GroundStation1 --> scFormation[84]         Jan 01 2024 05:51:29.062500000   Jan 01 2024 05:55:12.402343750       3.722330729
GroundStation1 --> scFormation[111]        Jan 01 2024 05:57:18.085937500   Jan 01 2024 06:01:02.695312500       3.743489583
GroundStation1 --> scFormation[110]        Jan 01 2024 05:59:47.695312500   Jan 01 2024 06:03:32.792968750       3.751627604
GroundStation1 --> scFormation[109]        Jan 01 2024 06:03:56.914062500   Jan 01 2024 06:07:42.988281250       3.767903646
GroundStation1 --> scFormation[108]        Jan 01 2024 06:08:06.132812500   Jan 01 2024 06:11:53.085937500       3.782552083
GroundStation1 --> scFormation[107]        Jan 01 2024 06:12:15.351562500   Jan 01 2024 06:16:03.183593750       3.797200521
GroundStation1 --> scFormation[106]        Jan 01 2024 06:16:24.570312500   Jan 01 2024 06:20:13.183593750       3.810221354
GroundStation1 --> scFormation[105]        Jan 01 2024 06:20:33.789062500   Jan 01 2024 06:24:23.085937500       3.821614583
GroundStation1 --> scFormation[104]        Jan 01 2024 06:24:43.007812500   Jan 01 2024 06:28:32.890625000       3.831380208
GroundStation1 --> scFormation[103]        Jan 01 2024 06:28:52.226562500   Jan 01 2024 06:32:42.695312500       3.841145833
GroundStation1 --> scFormation[102]        Jan 01 2024 06:33:01.542968750   Jan 01 2024 06:36:52.207031250       3.844401042
GroundStation1 --> scFormation[101]        Jan 01 2024 06:37:10.957031250   Jan 01 2024 06:41:01.718750000       3.846028646
GroundStation1 --> scFormation[100]        Jan 01 2024 06:41:20.371093750   Jan 01 2024 06:45:11.035156250       3.844401042
GroundStation1 --> scFormation[99]         Jan 01 2024 06:45:29.882812500   Jan 01 2024 06:49:20.058593750       3.836263021
GroundStation1 --> scFormation[98]         Jan 01 2024 06:49:39.492187500   Jan 01 2024 06:53:28.984375000       3.824869792
GroundStation1 --> scFormation[97]         Jan 01 2024 06:53:49.199218750   Jan 01 2024 06:57:37.714843750       3.808593750
GroundStation1 --> scFormation[96]         Jan 01 2024 06:57:59.003906250   Jan 01 2024 07:01:46.152343750       3.785807292
GroundStation1 --> scFormation[95]         Jan 01 2024 07:02:09.003906250   Jan 01 2024 07:05:54.394531250       3.756510417
GroundStation1 --> scFormation[117]        Jan 01 2024 07:08:32.011718750   Jan 01 2024 07:09:29.238281250       0.953776042
GroundStation1 --> scFormation[94]         Jan 01 2024 07:06:19.199218750   Jan 01 2024 07:10:02.246093750       3.717447917
GroundStation1 --> scFormation[93]         Jan 01 2024 07:10:29.589843750   Jan 01 2024 07:14:09.902343750       3.671875000
GroundStation1 --> scFormation[116]        Jan 01 2024 07:12:20.917968750   Jan 01 2024 07:13:56.718750000       1.596679688
GroundStation1 --> scFormation[92]         Jan 01 2024 07:14:40.273437500   Jan 01 2024 07:18:17.070312500       3.613281250
