Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Region2 --> scFormation[5]                 Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:01.125000000       1.018750000
Region2 --> scFormation[4]                 Jan 01 2024 00:08:19.187500000   Jan 01 2024 00:10:28.125000000       2.148958333
Region2 --> scFormation[3]                 Jan 01 2024 00:17:46.625000000   Jan 01 2024 00:19:55.500000000       2.147916667
Region2 --> scFormation[2]                 Jan 01 2024 00:27:13.937500000   Jan 01 2024 00:29:22.687500000       2.145833333
Region2 --> scFormation[1]                 Jan 01 2024 00:36:42.000000000   Jan 01 2024 00:38:52.187500000       2.169791667
Region2 --> scFormation[0]                 Jan 01 2024 00:46:11.875000000   Jan 01 2024 00:48:23.375000000       2.191666667
Region2 --> scFormation[9]                 Jan 01 2024 00:55:39.625000000   Jan 01 2024 00:57:49.812500000       2.169791667
Region2 --> scFormation[8]                 Jan 01 2024 01:05:03.687500000   Jan 01 2024 01:07:12.437500000       2.145833333
Region2 --> scFormation[7]                 Jan 01 2024 01:14:30.875000000   Jan 01 2024 01:16:39.750000000       2.147916667
Region2 --> scFormation[6]                 Jan 01 2024 01:24:03.750000000   Jan 01 2024 01:26:12.687500000       2.148958333
Region2 --> scFormation[5]                 Jan 01 2024 01:33:34.125000000   Jan 01 2024 01:35:42.812500000       2.144791667
Region2 --> scFormation[4]                 Jan 01 2024 01:42:57.500000000   Jan 01 2024 01:45:06.500000000       2.150000000
Region2 --> scFormation[3]                 Jan 01 2024 01:52:19.437500000   Jan 01 2024 01:54:28.312500000       2.147916667
Region2 --> scFormation[2]                 Jan 01 2024 02:01:46.812500000   Jan 01 2024 02:03:55.500000000       2.144791667
Region2 --> scFormation[1]                 Jan 01 2024 02:11:20.375000000   Jan 01 2024 02:13:30.500000000       2.168750000
Region2 --> scFormation[0]                 Jan 01 2024 02:20:53.625000000   Jan 01 2024 02:23:05.062500000       2.190625000
Region2 --> scFormation[9]                 Jan 01 2024 02:30:18.000000000   Jan 01 2024 02:32:28.187500000       2.169791667
Region2 --> scFormation[8]                 Jan 01 2024 02:39:36.562500000   Jan 01 2024 02:41:45.250000000       2.144791667
Region2 --> scFormation[7]                 Jan 01 2024 02:49:03.687500000   Jan 01 2024 02:51:12.625000000       2.148958333
Region2 --> scFormation[6]                 Jan 01 2024 02:58:42.062500000   Jan 01 2024 03:00:51.000000000       2.148958333
Region2 --> scFormation[5]                 Jan 01 2024 03:08:15.875000000   Jan 01 2024 03:10:24.562500000       2.144791667
Region2 --> scFormation[4]                 Jan 01 2024 03:17:35.812500000   Jan 01 2024 03:19:44.812500000       2.150000000
Region2 --> scFormation[3]                 Jan 01 2024 03:26:52.250000000   Jan 01 2024 03:29:01.125000000       2.147916667
Region2 --> scFormation[2]                 Jan 01 2024 03:36:19.625000000   Jan 01 2024 03:38:28.312500000       2.144791667
Region2 --> scFormation[1]                 Jan 01 2024 03:45:58.687500000   Jan 01 2024 03:48:08.875000000       2.169791667
Region2 --> scFormation[0]                 Jan 01 2024 03:55:35.312500000   Jan 01 2024 03:57:46.812500000       2.191666667
Region2 --> scFormation[9]                 Jan 01 2024 04:04:56.312500000   Jan 01 2024 04:07:06.500000000       2.169791667
Region2 --> scFormation[8]                 Jan 01 2024 04:14:09.375000000   Jan 01 2024 04:16:18.062500000       2.144791667
Region2 --> scFormation[7]                 Jan 01 2024 04:23:36.562500000   Jan 01 2024 04:25:45.437500000       2.147916667
Region2 --> scFormation[6]                 Jan 01 2024 04:33:20.375000000   Jan 01 2024 04:35:29.375000000       2.150000000
Region2 --> scFormation[5]                 Jan 01 2024 04:42:57.625000000   Jan 01 2024 04:45:06.250000000       2.143750000
Region2 --> scFormation[4]                 Jan 01 2024 04:52:14.125000000   Jan 01 2024 04:54:23.125000000       2.150000000
Region2 --> scFormation[3]                 Jan 01 2024 05:01:25.125000000   Jan 01 2024 05:03:34.000000000       2.147916667
Region2 --> scFormation[2]                 Jan 01 2024 05:10:52.437500000   Jan 01 2024 05:13:01.187500000       2.145833333
Region2 --> scFormation[1]                 Jan 01 2024 05:20:37.000000000   Jan 01 2024 05:22:47.187500000       2.169791667
Region2 --> scFormation[0]                 Jan 01 2024 05:30:17.062500000   Jan 01 2024 05:32:28.500000000       2.190625000
Region2 --> scFormation[9]                 Jan 01 2024 05:39:34.625000000   Jan 01 2024 05:41:44.812500000       2.169791667
Region2 --> scFormation[8]                 Jan 01 2024 05:48:42.187500000   Jan 01 2024 05:50:50.937500000       2.145833333
Region2 --> scFormation[7]                 Jan 01 2024 05:58:09.375000000   Jan 01 2024 06:00:18.250000000       2.147916667
Region2 --> scFormation[6]                 Jan 01 2024 06:07:58.687500000   Jan 01 2024 06:10:07.687500000       2.150000000
Region2 --> scFormation[5]                 Jan 01 2024 06:17:39.312500000   Jan 01 2024 06:19:48.000000000       2.144791667
Region2 --> scFormation[4]                 Jan 01 2024 06:26:52.500000000   Jan 01 2024 06:29:01.437500000       2.148958333
Region2 --> scFormation[3]                 Jan 01 2024 06:35:57.937500000   Jan 01 2024 06:38:06.812500000       2.147916667
Region2 --> scFormation[2]                 Jan 01 2024 06:45:25.312500000   Jan 01 2024 06:47:34.000000000       2.144791667
Region2 --> scFormation[1]                 Jan 01 2024 06:55:15.312500000   Jan 01 2024 06:57:25.500000000       2.169791667
Region2 --> scFormation[0]                 Jan 01 2024 07:04:58.750000000   Jan 01 2024 07:07:10.250000000       2.191666667
Region2 --> scFormation[9]                 Jan 01 2024 07:14:12.937500000   Jan 01 2024 07:16:23.125000000       2.169791667
Region2 --> scFormation[8]                 Jan 01 2024 07:23:15.062500000   Jan 01 2024 07:25:23.750000000       2.144791667
Region2 --> scFormation[7]                 Jan 01 2024 07:32:42.187500000   Jan 01 2024 07:34:51.125000000       2.148958333
Region2 --> scFormation[6]                 Jan 01 2024 07:42:37.000000000   Jan 01 2024 07:44:46.000000000       2.150000000
Region2 --> scFormation[5]                 Jan 01 2024 07:52:21.062500000   Jan 01 2024 07:54:29.750000000       2.144791667
Region2 --> scFormation[4]                 Jan 01 2024 08:01:30.812500000   Jan 01 2024 08:03:39.750000000       2.148958333
Region2 --> scFormation[3]                 Jan 01 2024 08:10:30.750000000   Jan 01 2024 08:12:39.687500000       2.148958333
Region2 --> scFormation[2]                 Jan 01 2024 08:19:58.125000000   Jan 01 2024 08:22:06.812500000       2.144791667
Region2 --> scFormation[1]                 Jan 01 2024 08:29:53.625000000   Jan 01 2024 08:32:03.812500000       2.169791667
Region2 --> scFormation[0]                 Jan 01 2024 08:39:40.500000000   Jan 01 2024 08:41:51.937500000       2.190625000
Region2 --> scFormation[9]                 Jan 01 2024 08:48:51.312500000   Jan 01 2024 08:51:01.500000000       2.169791667
Region2 --> scFormation[8]                 Jan 01 2024 08:57:47.875000000   Jan 01 2024 08:59:56.562500000       2.144791667
Region2 --> scFormation[7]                 Jan 01 2024 09:07:15.062500000   Jan 01 2024 09:09:23.937500000       2.147916667
Region2 --> scFormation[6]                 Jan 01 2024 09:17:15.375000000   Jan 01 2024 09:19:24.312500000       2.148958333
Region2 --> scFormation[5]                 Jan 01 2024 09:27:02.750000000   Jan 01 2024 09:29:11.437500000       2.144791667
Region2 --> scFormation[4]                 Jan 01 2024 09:36:09.125000000   Jan 01 2024 09:38:18.125000000       2.150000000
Region2 --> scFormation[3]                 Jan 01 2024 09:45:03.625000000   Jan 01 2024 09:47:12.500000000       2.147916667
Region2 --> scFormation[2]                 Jan 01 2024 09:54:30.937500000   Jan 01 2024 09:56:39.687500000       2.145833333
Region2 --> scFormation[1]                 Jan 01 2024 10:04:32.000000000   Jan 01 2024 10:06:42.187500000       2.169791667
Region2 --> scFormation[0]                 Jan 01 2024 10:14:22.250000000   Jan 01 2024 10:16:33.687500000       2.190625000
Region2 --> scFormation[9]                 Jan 01 2024 10:23:29.625000000   Jan 01 2024 10:25:39.812500000       2.169791667
Region2 --> scFormation[8]                 Jan 01 2024 10:32:20.687500000   Jan 01 2024 10:34:29.437500000       2.145833333
Region2 --> scFormation[7]                 Jan 01 2024 10:41:47.875000000   Jan 01 2024 10:43:56.750000000       2.147916667
Region2 --> scFormation[6]                 Jan 01 2024 10:51:53.687500000   Jan 01 2024 10:54:02.687500000       2.150000000
Region2 --> scFormation[5]                 Jan 01 2024 11:01:44.500000000   Jan 01 2024 11:03:53.187500000       2.144791667
Region2 --> scFormation[9]                 Jan 01 2024 11:10:47.437500000   Jan 01 2024 11:11:54.062500000       1.110416667
Region2 --> scFormation[4]                 Jan 01 2024 11:10:55.375000000   Jan 01 2024 11:12:56.437500000       2.017708333
Region2 --> scFormation[8]                 Jan 01 2024 11:19:36.437500000   Jan 01 2024 11:21:26.687500000       1.837500000
Region2 --> scFormation[3]                 Jan 01 2024 11:20:18.937500000   Jan 01 2024 11:21:45.312500000       1.439583333
Region2 --> scFormation[2]                 Jan 01 2024 11:30:39.312500000   Jan 01 2024 11:31:12.375000000       0.551041667
