Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[31]         Jan 01 2024 00:33:38.515625000   Jan 01 2024 00:34:04.609375000       0.434895833
GroundStation1 --> scFormation[30]         Jan 01 2024 00:42:22.265625000   Jan 01 2024 00:43:22.734375000       1.007812500
GroundStation1 --> scFormation[29]         Jan 01 2024 00:51:17.890625000   Jan 01 2024 00:52:35.703125000       1.296875000
GroundStation1 --> scFormation[28]         Jan 01 2024 01:00:20.937500000   Jan 01 2024 01:01:47.968750000       1.450520833
GroundStation1 --> scFormation[27]         Jan 01 2024 01:09:24.453125000   Jan 01 2024 01:10:53.515625000       1.484375000
GroundStation1 --> scFormation[26]         Jan 01 2024 01:18:23.671875000   Jan 01 2024 01:19:51.406250000       1.462239583
GroundStation1 --> scFormation[25]         Jan 01 2024 01:27:23.671875000   Jan 01 2024 01:28:48.828125000       1.419270833
GroundStation1 --> scFormation[24]         Jan 01 2024 01:36:30.625000000   Jan 01 2024 01:37:51.328125000       1.345052083
GroundStation1 --> scFormation[23]         Jan 01 2024 01:45:42.656250000   Jan 01 2024 01:46:57.109375000       1.240885417
GroundStation1 --> scFormation[22]         Jan 01 2024 01:54:41.093750000   Jan 01 2024 01:56:13.359375000       1.537760417
GroundStation1 --> scFormation[32]         Jan 01 2024 02:03:59.062500000   Jan 01 2024 02:04:59.140625000       1.001302083
GroundStation1 --> scFormation[31]         Jan 01 2024 02:13:01.796875000   Jan 01 2024 02:13:52.109375000       0.838541667
GroundStation1 --> scFormation[30]         Jan 01 2024 02:22:07.968750000   Jan 01 2024 02:22:48.437500000       0.674479167
GroundStation1 --> scFormation[29]         Jan 01 2024 02:31:22.812500000   Jan 01 2024 02:31:55.468750000       0.544270833
GroundStation1 --> scFormation[28]         Jan 01 2024 02:40:41.640625000   Jan 01 2024 02:41:06.250000000       0.410156250
GroundStation1 --> scFormation[27]         Jan 01 2024 02:49:51.640625000   Jan 01 2024 02:50:07.421875000       0.263020833
GroundStation1 --> scFormation[26]         Jan 01 2024 02:58:45.234375000   Jan 01 2024 02:59:02.421875000       0.286458333
