Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[82]         Jan 01 2024 00:10:30.468750000   Jan 01 2024 00:11:32.773437500       1.038411458
GroundStation1 --> scFormation[81]         Jan 01 2024 00:13:11.601562500   Jan 01 2024 00:14:39.394531250       1.463216146
GroundStation1 --> scFormation[80]         Jan 01 2024 00:15:56.152343750   Jan 01 2024 00:17:42.597656250       1.774088542
GroundStation1 --> scFormation[119]        Jan 01 2024 00:18:42.656250000   Jan 01 2024 00:20:44.042968750       2.023111979
GroundStation1 --> scFormation[118]        Jan 01 2024 00:21:30.332031250   Jan 01 2024 00:23:44.316406250       2.233072917
GroundStation1 --> scFormation[117]        Jan 01 2024 00:24:18.886718750   Jan 01 2024 00:26:43.808593750       2.415364583
GroundStation1 --> scFormation[116]        Jan 01 2024 00:27:08.222656250   Jan 01 2024 00:29:42.617187500       2.573242188
GroundStation1 --> scFormation[115]        Jan 01 2024 00:29:58.046875000   Jan 01 2024 00:32:40.839843750       2.713216146
GroundStation1 --> scFormation[114]        Jan 01 2024 00:32:48.457031250   Jan 01 2024 00:35:38.671875000       2.836914063
GroundStation1 --> scFormation[113]        Jan 01 2024 00:35:39.160156250   Jan 01 2024 00:38:36.210937500       2.950846354
GroundStation1 --> scFormation[112]        Jan 01 2024 00:38:30.351562500   Jan 01 2024 00:41:33.359375000       3.050130208
GroundStation1 --> scFormation[111]        Jan 01 2024 00:41:21.835937500   Jan 01 2024 00:44:30.312500000       3.141276042
GroundStation1 --> scFormation[110]        Jan 01 2024 00:44:13.515625000   Jan 01 2024 00:47:26.972656250       3.224283854
GroundStation1 --> scFormation[109]        Jan 01 2024 00:47:05.585937500   Jan 01 2024 00:50:23.437500000       3.297526042
GroundStation1 --> scFormation[108]        Jan 01 2024 00:49:57.851562500   Jan 01 2024 00:53:19.707031250       3.364257813
GroundStation1 --> scFormation[107]        Jan 01 2024 00:52:50.312500000   Jan 01 2024 00:56:15.781250000       3.424479167
GroundStation1 --> scFormation[106]        Jan 01 2024 00:55:42.968750000   Jan 01 2024 00:59:11.757812500       3.479817708
GroundStation1 --> scFormation[105]        Jan 01 2024 00:58:35.917968750   Jan 01 2024 01:02:07.539062500       3.527018229
GroundStation1 --> scFormation[104]        Jan 01 2024 01:01:28.964843750   Jan 01 2024 01:05:03.222656250       3.570963542
GroundStation1 --> scFormation[103]        Jan 01 2024 01:04:22.109375000   Jan 01 2024 01:07:58.808593750       3.611653646
GroundStation1 --> scFormation[102]        Jan 01 2024 01:07:15.546875000   Jan 01 2024 01:10:54.296875000       3.645833333
GroundStation1 --> scFormation[101]        Jan 01 2024 01:10:08.984375000   Jan 01 2024 01:13:49.687500000       3.678385417
GroundStation1 --> scFormation[100]        Jan 01 2024 01:13:02.617187500   Jan 01 2024 01:16:44.980468750       3.706054688
GroundStation1 --> scFormation[99]         Jan 01 2024 01:15:56.347656250   Jan 01 2024 01:19:40.273437500       3.732096354
GroundStation1 --> scFormation[98]         Jan 01 2024 01:18:50.273437500   Jan 01 2024 01:22:35.371093750       3.751627604
GroundStation1 --> scFormation[97]         Jan 01 2024 01:21:44.199218750   Jan 01 2024 01:25:30.468750000       3.771158854
GroundStation1 --> scFormation[96]         Jan 01 2024 01:24:38.320312500   Jan 01 2024 01:28:25.566406250       3.787434896
GroundStation1 --> scFormation[95]         Jan 01 2024 01:27:32.441406250   Jan 01 2024 01:31:20.566406250       3.802083333
GroundStation1 --> scFormation[94]         Jan 01 2024 01:30:26.660156250   Jan 01 2024 01:34:15.468750000       3.813476563
GroundStation1 --> scFormation[93]         Jan 01 2024 01:33:21.074218750   Jan 01 2024 01:37:10.468750000       3.823242188
GroundStation1 --> scFormation[92]         Jan 01 2024 01:36:15.390625000   Jan 01 2024 01:40:05.273437500       3.831380208
GroundStation1 --> scFormation[91]         Jan 01 2024 01:39:09.902343750   Jan 01 2024 01:43:00.175781250       3.837890625
GroundStation1 --> scFormation[90]         Jan 01 2024 01:42:04.414062500   Jan 01 2024 01:45:54.980468750       3.842773438
GroundStation1 --> scFormation[89]         Jan 01 2024 01:44:59.023437500   Jan 01 2024 01:48:49.785156250       3.846028646
GroundStation1 --> scFormation[88]         Jan 01 2024 01:47:53.632812500   Jan 01 2024 01:51:44.589843750       3.849283854
GroundStation1 --> scFormation[87]         Jan 01 2024 01:50:48.339843750   Jan 01 2024 01:54:39.296875000       3.849283854
GroundStation1 --> scFormation[86]         Jan 01 2024 01:53:43.046875000   Jan 01 2024 01:57:34.101562500       3.850911458
GroundStation1 --> scFormation[85]         Jan 01 2024 01:56:37.851562500   Jan 01 2024 02:00:28.808593750       3.849283854
GroundStation1 --> scFormation[84]         Jan 01 2024 01:59:32.656250000   Jan 01 2024 02:03:23.613281250       3.849283854
GroundStation1 --> scFormation[83]         Jan 01 2024 02:02:27.558593750   Jan 01 2024 02:06:18.320312500       3.846028646
GroundStation1 --> scFormation[82]         Jan 01 2024 02:05:22.363281250   Jan 01 2024 02:09:13.027343750       3.844401042
GroundStation1 --> scFormation[81]         Jan 01 2024 02:08:17.265625000   Jan 01 2024 02:12:07.832031250       3.842773438
GroundStation1 --> scFormation[80]         Jan 01 2024 02:11:12.167968750   Jan 01 2024 02:15:02.539062500       3.839518229
GroundStation1 --> scFormation[119]        Jan 01 2024 02:14:07.070312500   Jan 01 2024 02:17:57.246093750       3.836263021
GroundStation1 --> scFormation[118]        Jan 01 2024 02:17:02.070312500   Jan 01 2024 02:20:52.050781250       3.833007813
GroundStation1 --> scFormation[117]        Jan 01 2024 02:19:56.972656250   Jan 01 2024 02:23:46.757812500       3.829752604
GroundStation1 --> scFormation[116]        Jan 01 2024 02:22:51.875000000   Jan 01 2024 02:26:41.562500000       3.828125000
GroundStation1 --> scFormation[115]        Jan 01 2024 02:25:46.875000000   Jan 01 2024 02:29:36.367187500       3.824869792
GroundStation1 --> scFormation[114]        Jan 01 2024 02:28:41.777343750   Jan 01 2024 02:32:31.171875000       3.823242188
GroundStation1 --> scFormation[113]        Jan 01 2024 02:31:36.777343750   Jan 01 2024 02:35:25.976562500       3.819986979
GroundStation1 --> scFormation[112]        Jan 01 2024 02:34:31.679687500   Jan 01 2024 02:38:20.781250000       3.818359375
GroundStation1 --> scFormation[111]        Jan 01 2024 02:37:26.679687500   Jan 01 2024 02:41:15.585937500       3.815104167
GroundStation1 --> scFormation[110]        Jan 01 2024 02:40:21.582031250   Jan 01 2024 02:44:10.488281250       3.815104167
GroundStation1 --> scFormation[109]        Jan 01 2024 02:43:16.582031250   Jan 01 2024 02:47:05.292968750       3.811848958
GroundStation1 --> scFormation[108]        Jan 01 2024 02:46:11.484375000   Jan 01 2024 02:50:00.195312500       3.811848958
GroundStation1 --> scFormation[107]        Jan 01 2024 02:49:06.386718750   Jan 01 2024 02:52:55.097656250       3.811848958
