Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[85]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:00:29.980468750       0.499674479
GroundStation1 --> scFormation[84]         Jan 01 2024 00:01:12.167968750   Jan 01 2024 00:03:30.644531250       2.307942708
GroundStation1 --> scFormation[83]         Jan 01 2024 00:03:59.843750000   Jan 01 2024 00:06:30.234375000       2.506510417
GroundStation1 --> scFormation[82]         Jan 01 2024 00:06:48.496093750   Jan 01 2024 00:09:29.042968750       2.675781250
GroundStation1 --> scFormation[81]         Jan 01 2024 00:09:37.734375000   Jan 01 2024 00:12:27.363281250       2.827148438
GroundStation1 --> scFormation[80]         Jan 01 2024 00:12:27.558593750   Jan 01 2024 00:15:25.097656250       2.958984375
GroundStation1 --> scFormation[118]        Jan 01 2024 00:18:08.476562500   Jan 01 2024 00:21:19.492187500       3.183593750
GroundStation1 --> scFormation[119]        Jan 01 2024 00:18:08.476562500   Jan 01 2024 00:21:19.492187500       3.183593750
GroundStation1 --> scFormation[117]        Jan 01 2024 00:20:59.570312500   Jan 01 2024 00:24:16.152343750       3.276367188
GroundStation1 --> scFormation[116]        Jan 01 2024 00:23:51.054687500   Jan 01 2024 00:27:12.617187500       3.359375000
GroundStation1 --> scFormation[115]        Jan 01 2024 00:26:42.734375000   Jan 01 2024 00:30:08.789062500       3.434244792
GroundStation1 --> scFormation[114]        Jan 01 2024 00:29:34.804687500   Jan 01 2024 00:33:04.765625000       3.499348958
GroundStation1 --> scFormation[113]        Jan 01 2024 00:32:27.070312500   Jan 01 2024 00:36:00.546875000       3.557942708
GroundStation1 --> scFormation[112]        Jan 01 2024 00:35:19.531250000   Jan 01 2024 00:38:56.132812500       3.610026042
GroundStation1 --> scFormation[111]        Jan 01 2024 00:38:12.285156250   Jan 01 2024 00:41:51.621093750       3.655598958
GroundStation1 --> scFormation[110]        Jan 01 2024 00:41:05.234375000   Jan 01 2024 00:44:46.914062500       3.694661458
GroundStation1 --> scFormation[109]        Jan 01 2024 00:43:58.378906250   Jan 01 2024 00:47:42.011718750       3.727213542
GroundStation1 --> scFormation[108]        Jan 01 2024 00:46:51.718750000   Jan 01 2024 00:50:37.109375000       3.756510417
GroundStation1 --> scFormation[107]        Jan 01 2024 00:49:45.156250000   Jan 01 2024 00:53:32.011718750       3.780924479
GroundStation1 --> scFormation[106]        Jan 01 2024 00:52:38.886718750   Jan 01 2024 00:56:26.816406250       3.798828125
GroundStation1 --> scFormation[105]        Jan 01 2024 00:55:32.617187500   Jan 01 2024 00:59:21.621093750       3.816731771
GroundStation1 --> scFormation[104]        Jan 01 2024 00:58:26.640625000   Jan 01 2024 01:02:16.230468750       3.826497396
GroundStation1 --> scFormation[103]        Jan 01 2024 01:01:20.664062500   Jan 01 2024 01:05:10.839843750       3.836263021
GroundStation1 --> scFormation[102]        Jan 01 2024 01:04:14.882812500   Jan 01 2024 01:08:05.351562500       3.841145833
GroundStation1 --> scFormation[101]        Jan 01 2024 01:07:09.199218750   Jan 01 2024 01:10:59.765625000       3.842773438
GroundStation1 --> scFormation[100]        Jan 01 2024 01:10:03.613281250   Jan 01 2024 01:13:54.179687500       3.842773438
GroundStation1 --> scFormation[99]         Jan 01 2024 01:12:58.222656250   Jan 01 2024 01:16:48.496093750       3.837890625
GroundStation1 --> scFormation[98]         Jan 01 2024 01:15:52.832031250   Jan 01 2024 01:19:42.812500000       3.833007813
GroundStation1 --> scFormation[97]         Jan 01 2024 01:18:47.539062500   Jan 01 2024 01:22:37.128906250       3.826497396
GroundStation1 --> scFormation[96]         Jan 01 2024 01:21:42.343750000   Jan 01 2024 01:25:31.347656250       3.816731771
GroundStation1 --> scFormation[95]         Jan 01 2024 01:24:37.246093750   Jan 01 2024 01:28:25.468750000       3.803710938
GroundStation1 --> scFormation[94]         Jan 01 2024 01:27:32.246093750   Jan 01 2024 01:31:19.687500000       3.790690104
GroundStation1 --> scFormation[93]         Jan 01 2024 01:30:27.246093750   Jan 01 2024 01:34:13.808593750       3.776041667
GroundStation1 --> scFormation[92]         Jan 01 2024 01:33:22.343750000   Jan 01 2024 01:37:08.027343750       3.761393229
GroundStation1 --> scFormation[91]         Jan 01 2024 01:36:17.539062500   Jan 01 2024 01:40:02.148437500       3.743489583
GroundStation1 --> scFormation[90]         Jan 01 2024 01:39:12.734375000   Jan 01 2024 01:42:56.269531250       3.725585938
GroundStation1 --> scFormation[89]         Jan 01 2024 01:42:07.929687500   Jan 01 2024 01:45:50.390625000       3.707682292
GroundStation1 --> scFormation[88]         Jan 01 2024 01:45:03.222656250   Jan 01 2024 01:48:44.511718750       3.688151042
GroundStation1 --> scFormation[87]         Jan 01 2024 01:47:58.613281250   Jan 01 2024 01:51:38.632812500       3.666992188
GroundStation1 --> scFormation[86]         Jan 01 2024 01:50:53.906250000   Jan 01 2024 01:54:32.753906250       3.647460938
GroundStation1 --> scFormation[85]         Jan 01 2024 01:53:49.296875000   Jan 01 2024 01:57:26.875000000       3.626302083
GroundStation1 --> scFormation[84]         Jan 01 2024 01:56:44.687500000   Jan 01 2024 02:00:20.996093750       3.605143229
GroundStation1 --> scFormation[83]         Jan 01 2024 01:59:40.078125000   Jan 01 2024 02:03:15.214843750       3.585611979
GroundStation1 --> scFormation[82]         Jan 01 2024 02:02:35.468750000   Jan 01 2024 02:06:09.433593750       3.566080729
GroundStation1 --> scFormation[81]         Jan 01 2024 02:05:30.859375000   Jan 01 2024 02:09:03.652343750       3.546549479
GroundStation1 --> scFormation[80]         Jan 01 2024 02:08:26.250000000   Jan 01 2024 02:11:57.968750000       3.528645833
GroundStation1 --> scFormation[118]        Jan 01 2024 02:14:17.031250000   Jan 01 2024 02:17:46.601562500       3.492838542
GroundStation1 --> scFormation[119]        Jan 01 2024 02:14:17.031250000   Jan 01 2024 02:17:46.601562500       3.492838542
GroundStation1 --> scFormation[117]        Jan 01 2024 02:17:12.421875000   Jan 01 2024 02:20:40.917968750       3.474934896
GroundStation1 --> scFormation[116]        Jan 01 2024 02:20:07.812500000   Jan 01 2024 02:23:35.332031250       3.458658854
GroundStation1 --> scFormation[115]        Jan 01 2024 02:23:03.105468750   Jan 01 2024 02:26:29.843750000       3.445638021
GroundStation1 --> scFormation[114]        Jan 01 2024 02:25:58.398437500   Jan 01 2024 02:29:24.355468750       3.432617188
GroundStation1 --> scFormation[113]        Jan 01 2024 02:28:53.691406250   Jan 01 2024 02:32:18.867187500       3.419596354
GroundStation1 --> scFormation[112]        Jan 01 2024 02:31:48.886718750   Jan 01 2024 02:35:13.476562500       3.409830729
GroundStation1 --> scFormation[111]        Jan 01 2024 02:34:44.082031250   Jan 01 2024 02:38:08.085937500       3.400065104
GroundStation1 --> scFormation[110]        Jan 01 2024 02:37:39.179687500   Jan 01 2024 02:41:02.792968750       3.393554688
GroundStation1 --> scFormation[109]        Jan 01 2024 02:40:34.277343750   Jan 01 2024 02:43:57.597656250       3.388671875
GroundStation1 --> scFormation[108]        Jan 01 2024 02:43:29.375000000   Jan 01 2024 02:46:52.402343750       3.383789063
GroundStation1 --> scFormation[107]        Jan 01 2024 02:46:24.375000000   Jan 01 2024 02:49:47.207031250       3.380533854
GroundStation1 --> scFormation[106]        Jan 01 2024 02:49:19.375000000   Jan 01 2024 02:52:42.109375000       3.378906250
GroundStation1 --> scFormation[105]        Jan 01 2024 02:52:14.277343750   Jan 01 2024 02:55:37.109375000       3.380533854
GroundStation1 --> scFormation[104]        Jan 01 2024 02:55:09.082031250   Jan 01 2024 02:58:32.109375000       3.383789063
GroundStation1 --> scFormation[103]        Jan 01 2024 02:58:03.984375000   Jan 01 2024 03:01:27.109375000       3.385416667
GroundStation1 --> scFormation[102]        Jan 01 2024 03:00:58.691406250   Jan 01 2024 03:04:22.207031250       3.391927083
GroundStation1 --> scFormation[101]        Jan 01 2024 03:03:53.398437500   Jan 01 2024 03:07:17.402343750       3.400065104
GroundStation1 --> scFormation[100]        Jan 01 2024 03:06:48.105468750   Jan 01 2024 03:10:12.500000000       3.406575521
GroundStation1 --> scFormation[99]         Jan 01 2024 03:09:42.714843750   Jan 01 2024 03:13:07.792968750       3.417968750
GroundStation1 --> scFormation[98]         Jan 01 2024 03:12:37.226562500   Jan 01 2024 03:16:02.988281250       3.429361979
GroundStation1 --> scFormation[97]         Jan 01 2024 03:15:31.738281250   Jan 01 2024 03:18:58.281250000       3.442382813
GroundStation1 --> scFormation[96]         Jan 01 2024 03:18:26.250000000   Jan 01 2024 03:21:53.574218750       3.455403646
GroundStation1 --> scFormation[95]         Jan 01 2024 03:21:20.664062500   Jan 01 2024 03:24:48.964843750       3.471679688
GroundStation1 --> scFormation[94]         Jan 01 2024 03:24:14.980468750   Jan 01 2024 03:27:44.355468750       3.489583333
GroundStation1 --> scFormation[93]         Jan 01 2024 03:27:09.394531250   Jan 01 2024 03:30:39.746093750       3.505859375
GroundStation1 --> scFormation[92]         Jan 01 2024 03:30:03.710937500   Jan 01 2024 03:33:35.136718750       3.523763021
GroundStation1 --> scFormation[91]         Jan 01 2024 03:32:57.929687500   Jan 01 2024 03:36:30.527343750       3.543294271
GroundStation1 --> scFormation[90]         Jan 01 2024 03:35:52.148437500   Jan 01 2024 03:39:25.917968750       3.562825521
GroundStation1 --> scFormation[89]         Jan 01 2024 03:38:46.367187500   Jan 01 2024 03:42:21.308593750       3.582356771
