Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[70]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:02:53.535156250       2.892252604
GroundStation1 --> scFormation[69]         Jan 01 2024 00:03:04.375000000   Jan 01 2024 00:06:31.699218750       3.455403646
GroundStation1 --> scFormation[68]         Jan 01 2024 00:06:43.417968750   Jan 01 2024 00:10:09.863281250       3.440755208
GroundStation1 --> scFormation[67]         Jan 01 2024 00:10:22.460937500   Jan 01 2024 00:13:48.222656250       3.429361979
GroundStation1 --> scFormation[66]         Jan 01 2024 00:14:01.406250000   Jan 01 2024 00:17:26.582031250       3.419596354
GroundStation1 --> scFormation[65]         Jan 01 2024 00:17:40.253906250   Jan 01 2024 00:21:05.039062500       3.413085938
GroundStation1 --> scFormation[64]         Jan 01 2024 00:21:19.003906250   Jan 01 2024 00:24:43.593750000       3.409830729
GroundStation1 --> scFormation[95]         Jan 01 2024 00:26:25.253906250   Jan 01 2024 00:29:49.648437500       3.406575521
GroundStation1 --> scFormation[94]         Jan 01 2024 00:28:36.406250000   Jan 01 2024 00:32:00.800781250       3.406575521
GroundStation1 --> scFormation[93]         Jan 01 2024 00:32:14.960937500   Jan 01 2024 00:35:39.648437500       3.411458333
GroundStation1 --> scFormation[92]         Jan 01 2024 00:35:53.417968750   Jan 01 2024 00:39:18.398437500       3.416341146
GroundStation1 --> scFormation[91]         Jan 01 2024 00:39:31.875000000   Jan 01 2024 00:42:57.343750000       3.424479167
GroundStation1 --> scFormation[90]         Jan 01 2024 00:43:10.234375000   Jan 01 2024 00:46:36.289062500       3.434244792
GroundStation1 --> scFormation[89]         Jan 01 2024 00:46:48.496093750   Jan 01 2024 00:50:15.332031250       3.447265625
GroundStation1 --> scFormation[88]         Jan 01 2024 00:50:26.660156250   Jan 01 2024 00:53:54.375000000       3.461914063
GroundStation1 --> scFormation[87]         Jan 01 2024 00:54:04.824218750   Jan 01 2024 00:57:33.515625000       3.478190104
GroundStation1 --> scFormation[86]         Jan 01 2024 00:57:42.890625000   Jan 01 2024 01:01:12.656250000       3.496093750
GroundStation1 --> scFormation[85]         Jan 01 2024 01:01:20.859375000   Jan 01 2024 01:04:51.796875000       3.515625000
GroundStation1 --> scFormation[84]         Jan 01 2024 01:04:58.730468750   Jan 01 2024 01:08:31.035156250       3.538411458
GroundStation1 --> scFormation[83]         Jan 01 2024 01:08:36.699218750   Jan 01 2024 01:12:10.273437500       3.559570313
GroundStation1 --> scFormation[82]         Jan 01 2024 01:12:14.472656250   Jan 01 2024 01:15:49.414062500       3.582356771
GroundStation1 --> scFormation[81]         Jan 01 2024 01:15:52.246093750   Jan 01 2024 01:19:28.652343750       3.606770833
GroundStation1 --> scFormation[80]         Jan 01 2024 01:19:30.019531250   Jan 01 2024 01:23:07.890625000       3.631184896
GroundStation1 --> scFormation[79]         Jan 01 2024 01:23:07.792968750   Jan 01 2024 01:26:47.031250000       3.653971354
GroundStation1 --> scFormation[78]         Jan 01 2024 01:26:45.468750000   Jan 01 2024 01:30:26.171875000       3.678385417
GroundStation1 --> scFormation[77]         Jan 01 2024 01:30:23.144531250   Jan 01 2024 01:34:05.312500000       3.702799479
GroundStation1 --> scFormation[76]         Jan 01 2024 01:34:00.820312500   Jan 01 2024 01:37:44.355468750       3.725585938
GroundStation1 --> scFormation[75]         Jan 01 2024 01:37:38.593750000   Jan 01 2024 01:41:23.398437500       3.746744792
GroundStation1 --> scFormation[74]         Jan 01 2024 01:41:16.269531250   Jan 01 2024 01:45:02.246093750       3.766276042
GroundStation1 --> scFormation[73]         Jan 01 2024 01:44:53.945312500   Jan 01 2024 01:48:41.093750000       3.785807292
GroundStation1 --> scFormation[72]         Jan 01 2024 01:48:31.718750000   Jan 01 2024 01:52:19.843750000       3.802083333
GroundStation1 --> scFormation[71]         Jan 01 2024 01:52:09.492187500   Jan 01 2024 01:55:58.496093750       3.816731771
GroundStation1 --> scFormation[70]         Jan 01 2024 01:55:47.265625000   Jan 01 2024 01:59:36.953125000       3.828125000
GroundStation1 --> scFormation[69]         Jan 01 2024 01:59:25.136718750   Jan 01 2024 02:03:15.410156250       3.837890625
GroundStation1 --> scFormation[68]         Jan 01 2024 02:03:03.105468750   Jan 01 2024 02:06:53.574218750       3.841145833
GroundStation1 --> scFormation[67]         Jan 01 2024 02:06:41.074218750   Jan 01 2024 02:10:31.640625000       3.842773438
GroundStation1 --> scFormation[66]         Jan 01 2024 02:10:19.140625000   Jan 01 2024 02:14:09.609375000       3.841145833
GroundStation1 --> scFormation[124]        Jan 01 2024 02:13:11.699218750   Jan 01 2024 02:14:08.339843750       0.944010417
GroundStation1 --> scFormation[65]         Jan 01 2024 02:13:57.402343750   Jan 01 2024 02:17:47.285156250       3.831380208
GroundStation1 --> scFormation[123]        Jan 01 2024 02:16:30.332031250   Jan 01 2024 02:18:03.593750000       1.554361979
GroundStation1 --> scFormation[64]         Jan 01 2024 02:17:35.664062500   Jan 01 2024 02:21:24.863281250       3.819986979
GroundStation1 --> scFormation[122]        Jan 01 2024 02:19:55.214843750   Jan 01 2024 02:21:52.597656250       1.956380208
GroundStation1 --> scFormation[95]         Jan 01 2024 02:22:41.523437500   Jan 01 2024 02:26:28.964843750       3.790690104
GroundStation1 --> scFormation[121]        Jan 01 2024 02:23:23.027343750   Jan 01 2024 02:25:38.964843750       2.265625000
GroundStation1 --> scFormation[94]         Jan 01 2024 02:24:52.675781250   Jan 01 2024 02:28:39.238281250       3.776041667
GroundStation1 --> scFormation[120]        Jan 01 2024 02:26:52.597656250   Jan 01 2024 02:29:23.574218750       2.516276042
GroundStation1 --> scFormation[93]         Jan 01 2024 02:28:31.425781250   Jan 01 2024 02:32:16.035156250       3.743489583
GroundStation1 --> scFormation[119]        Jan 01 2024 02:30:23.437500000   Jan 01 2024 02:33:07.011718750       2.726236979
GroundStation1 --> scFormation[92]         Jan 01 2024 02:32:10.273437500   Jan 01 2024 02:35:52.539062500       3.704427083
GroundStation1 --> scFormation[118]        Jan 01 2024 02:33:55.253906250   Jan 01 2024 02:36:49.570312500       2.905273438
GroundStation1 --> scFormation[91]         Jan 01 2024 02:35:49.316406250   Jan 01 2024 02:39:28.847656250       3.658854167
GroundStation1 --> scFormation[117]        Jan 01 2024 02:37:27.851562500   Jan 01 2024 02:40:31.445312500       3.059895833
GroundStation1 --> scFormation[90]         Jan 01 2024 02:39:28.652343750   Jan 01 2024 02:43:04.765625000       3.601888021
GroundStation1 --> scFormation[116]        Jan 01 2024 02:41:01.230468750   Jan 01 2024 02:44:12.734375000       3.191731771
GroundStation1 --> scFormation[89]         Jan 01 2024 02:43:08.183593750   Jan 01 2024 02:46:40.390625000       3.536783854
GroundStation1 --> scFormation[115]        Jan 01 2024 02:44:35.097656250   Jan 01 2024 02:47:53.535156250       3.307291667
GroundStation1 --> scFormation[88]         Jan 01 2024 02:46:48.105468750   Jan 01 2024 02:50:15.527343750       3.457031250
GroundStation1 --> scFormation[114]        Jan 01 2024 02:48:09.550781250   Jan 01 2024 02:51:33.945312500       3.406575521
GroundStation1 --> scFormation[87]         Jan 01 2024 02:50:28.222656250   Jan 01 2024 02:53:50.371093750       3.369140625
GroundStation1 --> scFormation[113]        Jan 01 2024 02:51:44.492187500   Jan 01 2024 02:55:13.964843750       3.491210938
GroundStation1 --> scFormation[86]         Jan 01 2024 02:54:08.730468750   Jan 01 2024 02:57:24.726562500       3.266601563
GroundStation1 --> scFormation[112]        Jan 01 2024 02:55:19.726562500   Jan 01 2024 02:58:53.691406250       3.566080729
GroundStation1 --> scFormation[85]         Jan 01 2024 02:57:49.726562500   Jan 01 2024 03:00:58.496093750       3.146158854
GroundStation1 --> scFormation[111]        Jan 01 2024 02:58:55.449218750   Jan 01 2024 03:02:33.125000000       3.627929688
GroundStation1 --> scFormation[84]         Jan 01 2024 03:01:31.210937500   Jan 01 2024 03:04:31.679687500       3.007812500
GroundStation1 --> scFormation[110]        Jan 01 2024 03:02:31.464843750   Jan 01 2024 03:06:12.265625000       3.680013021
GroundStation1 --> scFormation[83]         Jan 01 2024 03:05:13.281250000   Jan 01 2024 03:08:04.082031250       2.846679688
GroundStation1 --> scFormation[109]        Jan 01 2024 03:06:07.871093750   Jan 01 2024 03:09:51.308593750       3.723958333
GroundStation1 --> scFormation[82]         Jan 01 2024 03:08:56.035156250   Jan 01 2024 03:11:35.703125000       2.661132813
GroundStation1 --> scFormation[108]        Jan 01 2024 03:09:44.472656250   Jan 01 2024 03:13:30.058593750       3.759765625
GroundStation1 --> scFormation[81]         Jan 01 2024 03:12:39.765625000   Jan 01 2024 03:15:06.347656250       2.443033854
GroundStation1 --> scFormation[107]        Jan 01 2024 03:13:21.367187500   Jan 01 2024 03:17:08.710937500       3.789062500
GroundStation1 --> scFormation[80]         Jan 01 2024 03:16:24.863281250   Jan 01 2024 03:18:35.527343750       2.177734375
GroundStation1 --> scFormation[106]        Jan 01 2024 03:16:58.554687500   Jan 01 2024 03:20:47.167968750       3.810221354
GroundStation1 --> scFormation[79]         Jan 01 2024 03:20:11.718750000   Jan 01 2024 03:22:02.656250000       1.848958333
GroundStation1 --> scFormation[105]        Jan 01 2024 03:20:35.937500000   Jan 01 2024 03:24:25.527343750       3.826497396
GroundStation1 --> scFormation[78]         Jan 01 2024 03:24:01.894531250   Jan 01 2024 03:25:26.464843750       1.409505208
GroundStation1 --> scFormation[104]        Jan 01 2024 03:24:13.515625000   Jan 01 2024 03:28:03.691406250       3.836263021
GroundStation1 --> scFormation[77]         Jan 01 2024 03:28:01.152343750   Jan 01 2024 03:28:41.191406250       0.667317708
GroundStation1 --> scFormation[103]        Jan 01 2024 03:27:51.289062500   Jan 01 2024 03:31:41.757812500       3.841145833
GroundStation1 --> scFormation[102]        Jan 01 2024 03:31:29.257812500   Jan 01 2024 03:35:19.824218750       3.842773438
GroundStation1 --> scFormation[101]        Jan 01 2024 03:35:07.421875000   Jan 01 2024 03:38:57.695312500       3.837890625
GroundStation1 --> scFormation[100]        Jan 01 2024 03:38:45.683593750   Jan 01 2024 03:42:35.566406250       3.831380208
GroundStation1 --> scFormation[99]         Jan 01 2024 03:42:24.140625000   Jan 01 2024 03:46:13.339843750       3.819986979
GroundStation1 --> scFormation[98]         Jan 01 2024 03:46:02.695312500   Jan 01 2024 03:49:51.113281250       3.806966146
GroundStation1 --> scFormation[97]         Jan 01 2024 03:49:41.445312500   Jan 01 2024 03:53:28.789062500       3.789062500
GroundStation1 --> scFormation[96]         Jan 01 2024 03:53:20.292968750   Jan 01 2024 03:57:06.464843750       3.769531250
GroundStation1 --> scFormation[126]        Jan 01 2024 04:00:38.183593750   Jan 01 2024 04:04:21.718750000       3.725585938
GroundStation1 --> scFormation[127]        Jan 01 2024 04:02:49.531250000   Jan 01 2024 04:06:32.285156250       3.712565104
