Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[72]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:00:27.050781250       0.450846354
GroundStation1 --> scFormation[71]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:04:05.800781250       4.096679688
GroundStation1 --> scFormation[70]         Jan 01 2024 00:00:13.378906250   Jan 01 2024 00:07:44.453125000       7.517903646
GroundStation1 --> scFormation[69]         Jan 01 2024 00:03:51.738281250   Jan 01 2024 00:11:23.105468750       7.522786458
GroundStation1 --> scFormation[68]         Jan 01 2024 00:07:30.195312500   Jan 01 2024 00:15:01.757812500       7.526041667
GroundStation1 --> scFormation[67]         Jan 01 2024 00:11:08.652343750   Jan 01 2024 00:18:40.312500000       7.527669271
GroundStation1 --> scFormation[66]         Jan 01 2024 00:14:47.109375000   Jan 01 2024 00:22:18.964843750       7.530924479
GroundStation1 --> scFormation[65]         Jan 01 2024 00:18:25.664062500   Jan 01 2024 00:25:57.519531250       7.530924479
GroundStation1 --> scFormation[64]         Jan 01 2024 00:22:04.121093750   Jan 01 2024 00:29:36.074218750       7.532552083
GroundStation1 --> scFormation[95]         Jan 01 2024 00:25:42.675781250   Jan 01 2024 00:33:14.628906250       7.532552083
GroundStation1 --> scFormation[94]         Jan 01 2024 00:29:21.230468750   Jan 01 2024 00:36:53.183593750       7.532552083
GroundStation1 --> scFormation[93]         Jan 01 2024 00:32:59.882812500   Jan 01 2024 00:40:31.738281250       7.530924479
GroundStation1 --> scFormation[92]         Jan 01 2024 00:36:38.437500000   Jan 01 2024 00:44:10.292968750       7.530924479
GroundStation1 --> scFormation[91]         Jan 01 2024 00:40:17.089843750   Jan 01 2024 00:47:48.750000000       7.527669271
GroundStation1 --> scFormation[90]         Jan 01 2024 00:43:55.644531250   Jan 01 2024 00:51:27.207031250       7.526041667
GroundStation1 --> scFormation[89]         Jan 01 2024 00:47:34.296875000   Jan 01 2024 00:55:05.664062500       7.522786458
GroundStation1 --> scFormation[88]         Jan 01 2024 00:51:12.949218750   Jan 01 2024 00:58:44.023437500       7.517903646
GroundStation1 --> scFormation[87]         Jan 01 2024 00:54:51.601562500   Jan 01 2024 01:02:22.382812500       7.513020833
GroundStation1 --> scFormation[86]         Jan 01 2024 00:58:30.351562500   Jan 01 2024 01:06:00.742187500       7.506510417
GroundStation1 --> scFormation[85]         Jan 01 2024 01:02:09.003906250   Jan 01 2024 01:09:39.003906250       7.500000000
GroundStation1 --> scFormation[84]         Jan 01 2024 01:05:47.753906250   Jan 01 2024 01:13:17.265625000       7.491861979
GroundStation1 --> scFormation[83]         Jan 01 2024 01:09:26.406250000   Jan 01 2024 01:16:55.429687500       7.483723958
GroundStation1 --> scFormation[82]         Jan 01 2024 01:13:05.156250000   Jan 01 2024 01:20:33.593750000       7.473958333
GroundStation1 --> scFormation[81]         Jan 01 2024 01:16:43.906250000   Jan 01 2024 01:24:11.757812500       7.464192708
GroundStation1 --> scFormation[80]         Jan 01 2024 01:20:22.753906250   Jan 01 2024 01:27:49.726562500       7.449544271
GroundStation1 --> scFormation[79]         Jan 01 2024 01:24:01.503906250   Jan 01 2024 01:31:27.792968750       7.438151042
GroundStation1 --> scFormation[78]         Jan 01 2024 01:27:40.351562500   Jan 01 2024 01:35:05.664062500       7.421875000
GroundStation1 --> scFormation[77]         Jan 01 2024 01:31:19.199218750   Jan 01 2024 01:38:43.535156250       7.405598958
GroundStation1 --> scFormation[76]         Jan 01 2024 01:34:58.046875000   Jan 01 2024 01:42:21.308593750       7.387695313
GroundStation1 --> scFormation[75]         Jan 01 2024 01:38:36.992187500   Jan 01 2024 01:45:58.984375000       7.366536458
GroundStation1 --> scFormation[74]         Jan 01 2024 01:42:15.937500000   Jan 01 2024 01:49:36.562500000       7.343750000
GroundStation1 --> scFormation[100]        Jan 01 2024 01:48:21.757812500   Jan 01 2024 01:49:30.800781250       1.150716146
GroundStation1 --> scFormation[73]         Jan 01 2024 01:45:54.980468750   Jan 01 2024 01:53:14.042968750       7.317708333
GroundStation1 --> scFormation[99]         Jan 01 2024 01:51:29.355468750   Jan 01 2024 01:53:37.089843750       2.128906250
GroundStation1 --> scFormation[72]         Jan 01 2024 01:49:34.023437500   Jan 01 2024 01:56:51.523437500       7.291666667
GroundStation1 --> scFormation[98]         Jan 01 2024 01:54:47.402343750   Jan 01 2024 01:57:32.929687500       2.758789063
GroundStation1 --> scFormation[71]         Jan 01 2024 01:53:13.066406250   Jan 01 2024 02:00:28.808593750       7.262369792
GroundStation1 --> scFormation[97]         Jan 01 2024 01:58:09.843750000   Jan 01 2024 02:01:24.667968750       3.247070313
GroundStation1 --> scFormation[70]         Jan 01 2024 01:56:52.207031250   Jan 01 2024 02:04:05.996093750       7.229817708
GroundStation1 --> scFormation[96]         Jan 01 2024 02:01:34.628906250   Jan 01 2024 02:05:13.867187500       3.653971354
GroundStation1 --> scFormation[69]         Jan 01 2024 02:00:31.445312500   Jan 01 2024 02:07:42.988281250       7.192382813
GroundStation1 --> scFormation[127]        Jan 01 2024 02:05:01.269531250   Jan 01 2024 02:09:01.503906250       4.003906250
GroundStation1 --> scFormation[68]         Jan 01 2024 02:04:10.683593750   Jan 01 2024 02:11:19.980468750       7.154947917
GroundStation1 --> scFormation[126]        Jan 01 2024 02:08:29.179687500   Jan 01 2024 02:12:47.871093750       4.311523438
GroundStation1 --> scFormation[67]         Jan 01 2024 02:07:50.019531250   Jan 01 2024 02:14:56.777343750       7.112630208
GroundStation1 --> scFormation[125]        Jan 01 2024 02:11:58.164062500   Jan 01 2024 02:16:33.261718750       4.584960938
GroundStation1 --> scFormation[66]         Jan 01 2024 02:11:29.453125000   Jan 01 2024 02:18:33.476562500       7.067057292
GroundStation1 --> scFormation[124]        Jan 01 2024 02:15:28.027343750   Jan 01 2024 02:20:17.871093750       4.830729167
GroundStation1 --> scFormation[65]         Jan 01 2024 02:15:08.984375000   Jan 01 2024 02:22:09.980468750       7.016601563
GroundStation1 --> scFormation[123]        Jan 01 2024 02:18:58.574218750   Jan 01 2024 02:24:01.796875000       5.053710938
GroundStation1 --> scFormation[64]         Jan 01 2024 02:18:48.515625000   Jan 01 2024 02:25:46.386718750       6.964518229
GroundStation1 --> scFormation[122]        Jan 01 2024 02:22:29.804687500   Jan 01 2024 02:27:45.234375000       5.257161458
GroundStation1 --> scFormation[95]         Jan 01 2024 02:22:28.242187500   Jan 01 2024 02:29:22.500000000       6.904296875
GroundStation1 --> scFormation[121]        Jan 01 2024 02:26:01.621093750   Jan 01 2024 02:31:28.085937500       5.441080729
