Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[71]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:02:40.449218750       2.674153646
GroundStation1 --> scFormation[70]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:06:19.003906250       6.316731771
GroundStation1 --> scFormation[69]         Jan 01 2024 00:02:22.285156250   Jan 01 2024 00:09:57.460937500       7.586263021
GroundStation1 --> scFormation[68]         Jan 01 2024 00:06:00.839843750   Jan 01 2024 00:13:36.015625000       7.586263021
GroundStation1 --> scFormation[67]         Jan 01 2024 00:09:39.394531250   Jan 01 2024 00:17:14.570312500       7.586263021
GroundStation1 --> scFormation[66]         Jan 01 2024 00:13:18.046875000   Jan 01 2024 00:20:53.125000000       7.584635417
GroundStation1 --> scFormation[65]         Jan 01 2024 00:16:56.601562500   Jan 01 2024 00:24:31.679687500       7.584635417
GroundStation1 --> scFormation[64]         Jan 01 2024 00:20:35.156250000   Jan 01 2024 00:28:10.234375000       7.584635417
GroundStation1 --> scFormation[95]         Jan 01 2024 00:24:13.710937500   Jan 01 2024 00:31:48.789062500       7.584635417
GroundStation1 --> scFormation[94]         Jan 01 2024 00:27:52.363281250   Jan 01 2024 00:35:27.343750000       7.583007813
GroundStation1 --> scFormation[93]         Jan 01 2024 00:31:30.917968750   Jan 01 2024 00:39:05.898437500       7.583007813
GroundStation1 --> scFormation[92]         Jan 01 2024 00:35:09.472656250   Jan 01 2024 00:42:44.550781250       7.584635417
GroundStation1 --> scFormation[91]         Jan 01 2024 00:38:48.027343750   Jan 01 2024 00:46:23.105468750       7.584635417
GroundStation1 --> scFormation[90]         Jan 01 2024 00:42:26.582031250   Jan 01 2024 00:50:01.660156250       7.584635417
GroundStation1 --> scFormation[89]         Jan 01 2024 00:46:05.039062500   Jan 01 2024 00:53:40.214843750       7.586263021
GroundStation1 --> scFormation[88]         Jan 01 2024 00:49:43.593750000   Jan 01 2024 00:57:18.769531250       7.586263021
GroundStation1 --> scFormation[87]         Jan 01 2024 00:53:22.148437500   Jan 01 2024 01:00:57.324218750       7.586263021
GroundStation1 --> scFormation[86]         Jan 01 2024 00:57:00.605468750   Jan 01 2024 01:04:35.878906250       7.587890625
GroundStation1 --> scFormation[85]         Jan 01 2024 01:00:39.160156250   Jan 01 2024 01:08:14.433593750       7.587890625
GroundStation1 --> scFormation[84]         Jan 01 2024 01:04:17.617187500   Jan 01 2024 01:11:52.890625000       7.587890625
GroundStation1 --> scFormation[83]         Jan 01 2024 01:07:56.074218750   Jan 01 2024 01:15:31.347656250       7.587890625
GroundStation1 --> scFormation[82]         Jan 01 2024 01:11:34.531250000   Jan 01 2024 01:19:09.804687500       7.587890625
