Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[9]          Jan 01 2024 12:14:20.839843750   Jan 01 2024 12:15:14.843750000       0.900065104
GroundStation1 --> scFormation[8]          Jan 01 2024 12:19:51.015625000   Jan 01 2024 12:21:19.394531250       1.472981771
GroundStation1 --> scFormation[7]          Jan 01 2024 12:25:28.125000000   Jan 01 2024 12:27:17.304687500       1.819661458
GroundStation1 --> scFormation[6]          Jan 01 2024 12:31:08.457031250   Jan 01 2024 12:33:12.187500000       2.062174479
GroundStation1 --> scFormation[5]          Jan 01 2024 12:36:50.839843750   Jan 01 2024 12:39:05.312500000       2.241210938
GroundStation1 --> scFormation[4]          Jan 01 2024 12:42:34.785156250   Jan 01 2024 12:44:57.070312500       2.371419271
GroundStation1 --> scFormation[3]          Jan 01 2024 12:48:20.000000000   Jan 01 2024 12:50:47.949218750       2.465820313
GroundStation1 --> scFormation[2]          Jan 01 2024 12:54:06.289062500   Jan 01 2024 12:56:37.949218750       2.527669271
GroundStation1 --> scFormation[1]          Jan 01 2024 12:59:53.359375000   Jan 01 2024 13:02:27.363281250       2.566731771
GroundStation1 --> scFormation[0]          Jan 01 2024 13:05:41.210937500   Jan 01 2024 13:08:16.289062500       2.584635417
GroundStation1 --> scFormation[19]         Jan 01 2024 13:11:29.746093750   Jan 01 2024 13:14:04.824218750       2.584635417
GroundStation1 --> scFormation[18]         Jan 01 2024 13:17:18.769531250   Jan 01 2024 13:19:52.968750000       2.569986979
GroundStation1 --> scFormation[17]         Jan 01 2024 13:23:08.378906250   Jan 01 2024 13:25:40.820312500       2.540690104
GroundStation1 --> scFormation[16]         Jan 01 2024 13:28:58.378906250   Jan 01 2024 13:31:28.476562500       2.501627604
GroundStation1 --> scFormation[15]         Jan 01 2024 13:34:48.671875000   Jan 01 2024 13:37:15.937500000       2.454427083
GroundStation1 --> scFormation[14]         Jan 01 2024 13:40:39.355468750   Jan 01 2024 13:43:03.300781250       2.399088542
GroundStation1 --> scFormation[13]         Jan 01 2024 13:46:30.234375000   Jan 01 2024 13:48:50.566406250       2.338867188
GroundStation1 --> scFormation[12]         Jan 01 2024 13:52:21.406250000   Jan 01 2024 13:54:37.734375000       2.272135417
GroundStation1 --> scFormation[11]         Jan 01 2024 13:58:12.578125000   Jan 01 2024 14:00:25.000000000       2.207031250
GroundStation1 --> scFormation[10]         Jan 01 2024 14:04:03.945312500   Jan 01 2024 14:06:12.363281250       2.140299479
GroundStation1 --> scFormation[9]          Jan 01 2024 14:09:55.214843750   Jan 01 2024 14:11:59.726562500       2.075195313
GroundStation1 --> scFormation[8]          Jan 01 2024 14:15:46.484375000   Jan 01 2024 14:17:47.285156250       2.013346354
GroundStation1 --> scFormation[7]          Jan 01 2024 14:21:37.558593750   Jan 01 2024 14:23:35.136718750       1.959635417
GroundStation1 --> scFormation[6]          Jan 01 2024 14:27:28.535156250   Jan 01 2024 14:29:23.183593750       1.910807292
GroundStation1 --> scFormation[5]          Jan 01 2024 14:33:19.218750000   Jan 01 2024 14:35:11.523437500       1.871744792
GroundStation1 --> scFormation[4]          Jan 01 2024 14:39:09.609375000   Jan 01 2024 14:41:00.156250000       1.842447917
GroundStation1 --> scFormation[3]          Jan 01 2024 14:44:59.707031250   Jan 01 2024 14:46:49.179687500       1.824544271
GroundStation1 --> scFormation[2]          Jan 01 2024 14:50:49.414062500   Jan 01 2024 14:52:38.593750000       1.819661458
GroundStation1 --> scFormation[1]          Jan 01 2024 14:56:38.828125000   Jan 01 2024 14:58:28.398437500       1.826171875
GroundStation1 --> scFormation[0]          Jan 01 2024 15:02:27.753906250   Jan 01 2024 15:04:18.593750000       1.847330729
GroundStation1 --> scFormation[19]         Jan 01 2024 15:08:16.386718750   Jan 01 2024 15:10:09.082031250       1.878255208
GroundStation1 --> scFormation[18]         Jan 01 2024 15:14:04.628906250   Jan 01 2024 15:15:59.765625000       1.918945313
GroundStation1 --> scFormation[17]         Jan 01 2024 15:19:52.675781250   Jan 01 2024 15:21:50.742187500       1.967773438
GroundStation1 --> scFormation[16]         Jan 01 2024 15:25:40.429687500   Jan 01 2024 15:27:41.914062500       2.024739583
GroundStation1 --> scFormation[15]         Jan 01 2024 15:31:27.890625000   Jan 01 2024 15:33:33.183593750       2.088216146
GroundStation1 --> scFormation[14]         Jan 01 2024 15:37:15.351562500   Jan 01 2024 15:39:24.453125000       2.151692708
GroundStation1 --> scFormation[13]         Jan 01 2024 15:43:02.617187500   Jan 01 2024 15:45:15.820312500       2.220052083
GroundStation1 --> scFormation[12]         Jan 01 2024 15:48:49.882812500   Jan 01 2024 15:51:06.992187500       2.285156250
GroundStation1 --> scFormation[11]         Jan 01 2024 15:54:37.050781250   Jan 01 2024 15:56:58.066406250       2.350260417
GroundStation1 --> scFormation[10]         Jan 01 2024 16:00:24.414062500   Jan 01 2024 16:02:48.945312500       2.408854167
GroundStation1 --> scFormation[9]          Jan 01 2024 16:06:11.679687500   Jan 01 2024 16:08:39.531250000       2.464192708
GroundStation1 --> scFormation[8]          Jan 01 2024 16:11:59.238281250   Jan 01 2024 16:14:29.824218750       2.509765625
GroundStation1 --> scFormation[7]          Jan 01 2024 16:17:46.894531250   Jan 01 2024 16:20:19.726562500       2.547200521
GroundStation1 --> scFormation[6]          Jan 01 2024 16:23:34.843750000   Jan 01 2024 16:26:09.238281250       2.573242188
GroundStation1 --> scFormation[5]          Jan 01 2024 16:29:22.988281250   Jan 01 2024 16:31:58.164062500       2.586263021
GroundStation1 --> scFormation[4]          Jan 01 2024 16:35:11.621093750   Jan 01 2024 16:37:46.601562500       2.583007813
GroundStation1 --> scFormation[3]          Jan 01 2024 16:41:00.546875000   Jan 01 2024 16:43:34.257812500       2.561848958
GroundStation1 --> scFormation[2]          Jan 01 2024 16:46:50.156250000   Jan 01 2024 16:49:21.230468750       2.517903646
GroundStation1 --> scFormation[1]          Jan 01 2024 16:52:40.351562500   Jan 01 2024 16:55:07.324218750       2.449544271
GroundStation1 --> scFormation[0]          Jan 01 2024 16:58:31.328125000   Jan 01 2024 17:00:52.343750000       2.350260417
GroundStation1 --> scFormation[19]         Jan 01 2024 17:04:23.281250000   Jan 01 2024 17:06:35.996093750       2.211914063
GroundStation1 --> scFormation[18]         Jan 01 2024 17:10:16.699218750   Jan 01 2024 17:12:18.085937500       2.023111979
GroundStation1 --> scFormation[17]         Jan 01 2024 17:16:12.070312500   Jan 01 2024 17:17:57.929687500       1.764322917
GroundStation1 --> scFormation[16]         Jan 01 2024 17:22:10.761718750   Jan 01 2024 17:23:34.062500000       1.388346354
GroundStation1 --> scFormation[15]         Jan 01 2024 17:28:17.949218750   Jan 01 2024 17:29:01.601562500       0.727539063
