
   PointCoverage.Sum   coveragePointGroup.NumberOfPoints
          None                        None
        0.000000000              2904.000000000
        0.000000000              2904.000000000
        7.000000000              2904.000000000
       26.000000000              2904.000000000
       32.000000000              2904.000000000
        0.000000000              2904.000000000
        0.000000000              2904.000000000
        0.000000000              2904.000000000
       34.000000000              2904.000000000
       32.000000000              2904.000000000
        9.000000000              2904.000000000
        0.000000000              2904.000000000
        0.000000000              2904.000000000
       45.000000000              2904.000000000
       35.000000000              2904.000000000
       21.000000000              2904.000000000
        0.000000000              2904.000000000
        0.000000000              2904.000000000
       46.000000000              2904.000000000
       48.000000000              2904.000000000
       38.000000000              2904.000000000
        0.000000000              2904.000000000
        0.000000000              2904.000000000
       38.000000000              2904.000000000
