
   PointCoverage.Sum   coveragePointGroup.NumberOfPoints
          None                        None
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
     1417.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     1696.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
      931.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     1880.000000000              2002.000000000
      470.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
     1072.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
      230.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
        0.000000000              2002.000000000
