
   PointCoverage.Sum   coveragePointGroup.NumberOfPoints
          None                        None
      652.000000000              1969.000000000
      574.000000000              1969.000000000
      597.000000000              1969.000000000
      626.000000000              1969.000000000
      541.000000000              1969.000000000
      682.000000000              1969.000000000
      500.000000000              1969.000000000
      702.000000000              1969.000000000
      492.000000000              1969.000000000
      701.000000000              1969.000000000
      504.000000000              1969.000000000
      670.000000000              1969.000000000
      549.000000000              1969.000000000
      614.000000000              1969.000000000
      603.000000000              1969.000000000
      558.000000000              1969.000000000
      661.000000000              1969.000000000
      504.000000000              1969.000000000
      699.000000000              1969.000000000
      484.000000000              1969.000000000
      704.000000000              1969.000000000
      488.000000000              1969.000000000
      693.000000000              1969.000000000
      524.000000000              1969.000000000
      642.000000000              1969.000000000
      579.000000000              1969.000000000
      583.000000000              1969.000000000
      636.000000000              1969.000000000
      525.000000000              1969.000000000
      694.000000000              1969.000000000
      492.000000000              1969.000000000
      712.000000000              1969.000000000
      490.000000000              1969.000000000
      706.000000000              1969.000000000
      507.000000000              1969.000000000
      668.000000000              1969.000000000
      558.000000000              1969.000000000
      612.000000000              1969.000000000
      615.000000000              1969.000000000
      558.000000000              1969.000000000
      674.000000000              1969.000000000
      508.000000000              1969.000000000
      714.000000000              1969.000000000
      495.000000000              1969.000000000
      718.000000000              1969.000000000
      515.000000000              1969.000000000
      697.000000000              1969.000000000
      566.000000000              1969.000000000
      642.000000000              1969.000000000
      635.000000000              1969.000000000
      591.000000000              1969.000000000
      704.000000000              1969.000000000
      556.000000000              1969.000000000
      774.000000000              1969.000000000
      557.000000000              1969.000000000
      813.000000000              1969.000000000
      577.000000000              1969.000000000
      799.000000000              1969.000000000
      621.000000000              1969.000000000
      775.000000000              1969.000000000
      696.000000000              1969.000000000
      752.000000000              1969.000000000
      777.000000000              1969.000000000
      719.000000000              1969.000000000
      849.000000000              1969.000000000
      696.000000000              1969.000000000
      915.000000000              1969.000000000
      693.000000000              1969.000000000
      933.000000000              1969.000000000
      703.000000000              1969.000000000
      926.000000000              1969.000000000
      743.000000000              1969.000000000
      914.000000000              1969.000000000
      800.000000000              1969.000000000
      740.000000000              1969.000000000
      860.000000000              1969.000000000
      899.000000000              1969.000000000
      945.000000000              1969.000000000
      846.000000000              1969.000000000
      995.000000000              1969.000000000
      828.000000000              1969.000000000
     1008.000000000              1969.000000000
      831.000000000              1969.000000000
     1001.000000000              1969.000000000
      856.000000000              1969.000000000
      986.000000000              1969.000000000
      885.000000000              1969.000000000
      969.000000000              1969.000000000
      926.000000000              1969.000000000
      949.000000000              1969.000000000
      985.000000000              1969.000000000
      928.000000000              1969.000000000
     1034.000000000              1969.000000000
      900.000000000              1969.000000000
     1052.000000000              1969.000000000
      876.000000000              1969.000000000
     1040.000000000              1969.000000000
      887.000000000              1969.000000000
     1026.000000000              1969.000000000
      906.000000000              1969.000000000
     1008.000000000              1969.000000000
      952.000000000              1969.000000000
      971.000000000              1969.000000000
      984.000000000              1969.000000000
      951.000000000              1969.000000000
     1010.000000000              1969.000000000
      905.000000000              1969.000000000
     1033.000000000              1969.000000000
      883.000000000              1969.000000000
     1049.000000000              1969.000000000
      883.000000000              1969.000000000
     1050.000000000              1969.000000000
      898.000000000              1969.000000000
     1027.000000000              1969.000000000
      933.000000000              1969.000000000
      989.000000000              1969.000000000
      961.000000000              1969.000000000
      938.000000000              1969.000000000
      977.000000000              1969.000000000
