
   PointCoverage.Sum   coveragePointGroup.NumberOfPoints
          None                        None
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     1896.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     1621.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     1467.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     1895.000000000              2002.000000000
     1864.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     2002.000000000              2002.000000000
     1267.000000000              2002.000000000
     2002.000000000              2002.000000000
