Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[47]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:00:31.982421875       0.533040365
GroundStation1 --> scFormation[71]         Jan 01 2024 00:11:39.890136718   Jan 01 2024 00:14:58.376464843       3.308105469
GroundStation1 --> scFormation[72]         Jan 01 2024 00:08:24.577636718   Jan 01 2024 00:11:36.716308593       3.202311198
GroundStation1 --> scFormation[73]         Jan 01 2024 00:05:09.753417968   Jan 01 2024 00:08:14.567871093       3.080240885
GroundStation1 --> scFormation[74]         Jan 01 2024 00:01:55.600585937   Jan 01 2024 00:04:51.809082031       2.936808268
GroundStation1 --> scFormation[75]         Jan 01 2024 00:00:00.000000000   Jan 01 2024 00:01:28.378906250       1.472981771
GroundStation1 --> scFormation[70]         Jan 01 2024 00:14:55.690917968   Jan 01 2024 00:18:19.487304687       3.396606445
GroundStation1 --> scFormation[101]        Jan 01 2024 00:28:01.701660156   Jan 01 2024 00:31:40.939941406       3.653971354
GroundStation1 --> scFormation[102]        Jan 01 2024 00:24:44.741210937   Jan 01 2024 00:28:20.805664062       3.601074219
GroundStation1 --> scFormation[103]        Jan 01 2024 00:21:28.146972656   Jan 01 2024 00:25:00.610351562       3.541056315
GroundStation1 --> scFormation[104]        Jan 01 2024 00:18:11.735839843   Jan 01 2024 00:21:40.170898437       3.473917643
GroundStation1 --> scFormation[96]         Jan 01 2024 00:44:31.936035156   Jan 01 2024 00:48:21.428222656       3.824869792
GroundStation1 --> scFormation[97]         Jan 01 2024 00:41:13.205566406   Jan 01 2024 00:45:01.599121093       3.806559245
GroundStation1 --> scFormation[98]         Jan 01 2024 00:37:54.719238281   Jan 01 2024 00:41:41.464843750       3.779093424
GroundStation1 --> scFormation[99]         Jan 01 2024 00:34:36.599121093   Jan 01 2024 00:38:21.269531250       3.744506836
GroundStation1 --> scFormation[100]        Jan 01 2024 00:31:18.967285156   Jan 01 2024 00:35:01.074218750       3.701782227
