Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

GroundStation1 --> scFormation[30]         Jan 01 2024 00:37:58.125000000   Jan 01 2024 00:38:45.625000000       0.791666667
GroundStation1 --> scFormation[29]         Jan 01 2024 00:46:48.906250000   Jan 01 2024 00:47:59.140625000       1.170572917
GroundStation1 --> scFormation[28]         Jan 01 2024 00:55:48.828125000   Jan 01 2024 00:57:12.265625000       1.390625000
GroundStation1 --> scFormation[27]         Jan 01 2024 01:04:53.125000000   Jan 01 2024 01:06:21.875000000       1.479166667
GroundStation1 --> scFormation[26]         Jan 01 2024 01:13:54.453125000   Jan 01 2024 01:15:23.046875000       1.476562500
GroundStation1 --> scFormation[25]         Jan 01 2024 01:22:53.046875000   Jan 01 2024 01:24:19.609375000       1.442708333
GroundStation1 --> scFormation[24]         Jan 01 2024 01:31:56.171875000   Jan 01 2024 01:33:19.375000000       1.386718750
GroundStation1 --> scFormation[23]         Jan 01 2024 01:41:06.406250000   Jan 01 2024 01:42:24.062500000       1.294270833
GroundStation1 --> scFormation[32]         Jan 01 2024 01:59:26.796875000   Jan 01 2024 02:00:30.937500000       1.069010417
GroundStation1 --> scFormation[31]         Jan 01 2024 02:08:30.468750000   Jan 01 2024 02:09:25.937500000       0.924479167
GroundStation1 --> scFormation[30]         Jan 01 2024 02:17:33.984375000   Jan 01 2024 02:18:19.218750000       0.753906250
GroundStation1 --> scFormation[29]         Jan 01 2024 02:26:44.296875000   Jan 01 2024 02:27:20.703125000       0.606770833
GroundStation1 --> scFormation[28]         Jan 01 2024 02:36:02.500000000   Jan 01 2024 02:36:31.406250000       0.481770833
GroundStation1 --> scFormation[27]         Jan 01 2024 02:45:18.515625000   Jan 01 2024 02:45:38.437500000       0.332031250
GroundStation1 --> scFormation[26]         Jan 01 2024 02:54:20.156250000   Jan 01 2024 02:54:34.843750000       0.244791667
GroundStation1 --> scFormation[25]         Jan 01 2024 03:03:09.609375000   Jan 01 2024 03:03:31.406250000       0.363281250
GroundStation1 --> scFormation[24]         Jan 01 2024 03:12:05.859375000   Jan 01 2024 03:12:36.796875000       0.515625000
GroundStation1 --> scFormation[23]         Jan 01 2024 03:21:13.828125000   Jan 01 2024 03:21:53.515625000       0.661458333
GroundStation1 --> scFormation[32]         Jan 01 2024 03:39:23.125000000   Jan 01 2024 03:40:24.609375000       1.024739583
GroundStation1 --> scFormation[31]         Jan 01 2024 03:48:13.125000000   Jan 01 2024 03:49:22.421875000       1.154947917
GroundStation1 --> scFormation[30]         Jan 01 2024 03:57:03.515625000   Jan 01 2024 03:58:18.750000000       1.253906250
GroundStation1 --> scFormation[29]         Jan 01 2024 04:06:07.421875000   Jan 01 2024 04:07:29.062500000       1.360677083
GroundStation1 --> scFormation[28]         Jan 01 2024 04:15:24.375000000   Jan 01 2024 04:16:51.328125000       1.449218750
GroundStation1 --> scFormation[27]         Jan 01 2024 04:24:36.640625000   Jan 01 2024 04:26:05.468750000       1.480468750
GroundStation1 --> scFormation[26]         Jan 01 2024 04:33:31.484375000   Jan 01 2024 04:34:59.140625000       1.460937500
GroundStation1 --> scFormation[25]         Jan 01 2024 04:42:19.296875000   Jan 01 2024 04:43:43.125000000       1.397135417
GroundStation1 --> scFormation[24]         Jan 01 2024 04:51:21.015625000   Jan 01 2024 04:52:36.484375000       1.257812500
