Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Region3 --> scFormation[6]                 Jan 01 2024 00:01:57.128906250   Jan 01 2024 00:03:21.269531250       1.402343750
Region3 --> scFormation[3]                 Jan 01 2024 00:09:40.546875000   Jan 01 2024 00:11:01.582031250       1.350585938
Region3 --> scFormation[4]                 Jan 01 2024 00:41:40.371093750   Jan 01 2024 00:43:01.054687500       1.344726563
Region3 --> scFormation[15]                Jan 01 2024 01:02:16.582031250   Jan 01 2024 01:02:46.464843750       0.498046875
Region3 --> scFormation[5]                 Jan 01 2024 01:03:40.195312500   Jan 01 2024 01:05:00.703125000       1.341796875
Region3 --> scFormation[16]                Jan 01 2024 01:19:56.425781250   Jan 01 2024 01:21:19.628906250       1.386718750
Region3 --> scFormation[6]                 Jan 01 2024 01:40:16.699218750   Jan 01 2024 01:40:45.468750000       0.479492188
Region3 --> scFormation[17]                Jan 01 2024 02:03:56.015625000   Jan 01 2024 02:05:18.691406250       1.377929688
Region3 --> scFormation[15]                Jan 01 2024 02:39:39.375000000   Jan 01 2024 02:40:59.003906250       1.327148438
Region3 --> scFormation[16]                Jan 01 2024 02:58:17.109375000   Jan 01 2024 02:58:43.125000000       0.433593750
Region3 --> scFormation[6]                 Jan 01 2024 03:17:38.964843750   Jan 01 2024 03:18:58.300781250       1.322265625
Region3 --> scFormation[7]                 Jan 01 2024 03:25:55.195312500   Jan 01 2024 03:27:16.523437500       1.355468750
Region3 --> scFormation[17]                Jan 01 2024 03:42:17.519531250   Jan 01 2024 03:42:41.484375000       0.399414063
Region3 --> scFormation[16]                Jan 01 2024 04:35:38.085937500   Jan 01 2024 04:36:56.660156250       1.309570313
Region3 --> scFormation[7]                 Jan 01 2024 05:04:17.871093750   Jan 01 2024 05:04:38.554687500       0.344726563
Region3 --> scFormation[17]                Jan 01 2024 05:19:37.500000000   Jan 01 2024 05:20:55.605468750       1.301757813
Region3 --> scFormation[18]                Jan 01 2024 05:19:53.906250000   Jan 01 2024 05:21:13.359375000       1.324218750
Region3 --> scFormation[8]                 Jan 01 2024 06:23:53.027343750   Jan 01 2024 06:25:11.484375000       1.307617188
Region3 --> scFormation[7]                 Jan 01 2024 06:41:36.445312500   Jan 01 2024 06:42:53.554687500       1.285156250
Region3 --> scFormation[18]                Jan 01 2024 06:58:17.167968750   Jan 01 2024 06:58:35.214843750       0.300781250
Region3 --> scFormation[9]                 Jan 01 2024 07:49:51.914062500   Jan 01 2024 07:51:08.964843750       1.284179688
Region3 --> scFormation[8]                 Jan 01 2024 08:02:15.820312500   Jan 01 2024 08:02:34.101562500       0.304687500
Region3 --> scFormation[18]                Jan 01 2024 08:35:34.921875000   Jan 01 2024 08:36:50.156250000       1.253906250
Region3 --> scFormation[9]                 Jan 01 2024 09:28:13.007812500   Jan 01 2024 09:28:33.574218750       0.342773438
Region3 --> scFormation[8]                 Jan 01 2024 09:39:34.101562500   Jan 01 2024 09:40:47.871093750       1.229492188
Region3 --> scFormation[9]                 Jan 01 2024 11:05:33.281250000   Jan 01 2024 11:06:44.589843750       1.188476563
Region3 --> scFormation[19]                Jan 01 2024 12:19:47.812500000   Jan 01 2024 12:21:02.343750000       1.242187500
Region3 --> scFormation[11]                Jan 01 2024 12:33:47.636718750   Jan 01 2024 12:35:02.050781250       1.240234375
Region3 --> scFormation[0]                 Jan 01 2024 12:38:53.906250000   Jan 01 2024 12:40:11.835937500       1.298828125
Region3 --> scFormation[19]                Jan 01 2024 13:57:59.882812500   Jan 01 2024 13:58:36.621093750       0.612304688
Region3 --> scFormation[1]                 Jan 01 2024 14:02:52.031250000   Jan 01 2024 14:04:10.781250000       1.312500000
