Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Region3 --> scFormation[3]                 Jan 01 2024 00:16:10.078125000   Jan 01 2024 00:18:20.625000000       2.175781250
Region3 --> scFormation[5]                 Jan 01 2024 00:51:59.296875000   Jan 01 2024 00:55:06.562500000       3.121093750
Region3 --> scFormation[4]                 Jan 01 2024 01:28:19.511718750   Jan 01 2024 01:31:30.351562500       3.180664063
Region3 --> scFormation[3]                 Jan 01 2024 02:04:51.503906250   Jan 01 2024 02:07:49.570312500       2.967773438
Region3 --> scFormation[5]                 Jan 01 2024 02:41:23.906250000   Jan 01 2024 02:44:12.539062500       2.810546875
Region3 --> scFormation[4]                 Jan 01 2024 03:17:49.921875000   Jan 01 2024 03:20:42.597656250       2.877929688
Region3 --> scFormation[3]                 Jan 01 2024 03:54:09.902343750   Jan 01 2024 03:57:15.996093750       3.101562500
Region3 --> scFormation[5]                 Jan 01 2024 04:30:30.468750000   Jan 01 2024 04:33:42.832031250       3.206054688
Region3 --> scFormation[4]                 Jan 01 2024 05:07:03.222656250   Jan 01 2024 05:09:48.984375000       2.762695313
Region3 --> scFormation[0]                 Jan 01 2024 12:18:01.054687500   Jan 01 2024 12:20:46.054687500       2.750000000
Region3 --> scFormation[2]                 Jan 01 2024 12:54:06.738281250   Jan 01 2024 12:57:19.042968750       3.205078125
Region3 --> scFormation[1]                 Jan 01 2024 13:30:33.398437500   Jan 01 2024 13:33:39.667968750       3.104492188
Region3 --> scFormation[0]                 Jan 01 2024 14:07:06.855468750   Jan 01 2024 14:09:59.472656250       2.876953125
Region3 --> scFormation[2]                 Jan 01 2024 14:43:37.031250000   Jan 01 2024 14:46:25.429687500       2.806640625
Region3 --> scFormation[1]                 Jan 01 2024 15:20:00.058593750   Jan 01 2024 15:22:57.773437500       2.961914063
Region3 --> scFormation[0]                 Jan 01 2024 15:56:19.277343750   Jan 01 2024 15:59:29.882812500       3.176757813
Region3 --> scFormation[2]                 Jan 01 2024 16:32:42.773437500   Jan 01 2024 16:35:50.507812500       3.128906250
Region3 --> scFormation[1]                 Jan 01 2024 17:09:27.832031250   Jan 01 2024 17:11:40.781250000       2.215820313
Region3 --> scFormation[4]                 Jan 01 2024 23:44:37.207031250   Jan 01 2024 23:46:08.320312500       1.518554688
