Access Event                                        Entry Epoch                       Exit Epoch                Duration(min)

Region3 --> scFormation[17]                Jan 01 2024 00:39:23.730468750   Jan 01 2024 00:40:13.886718750       0.835937500
Region3 --> scFormation[16]                Jan 01 2024 00:48:58.300781250   Jan 01 2024 00:50:09.726562500       1.190429688
Region3 --> scFormation[15]                Jan 01 2024 00:58:38.789062500   Jan 01 2024 01:00:00.410156250       1.360351563
Region3 --> scFormation[14]                Jan 01 2024 01:08:22.558593750   Jan 01 2024 01:09:48.339843750       1.429687500
Region3 --> scFormation[13]                Jan 01 2024 01:18:08.554687500   Jan 01 2024 01:19:34.570312500       1.433593750
Region3 --> scFormation[12]                Jan 01 2024 01:27:56.367187500   Jan 01 2024 01:29:19.453125000       1.384765625
Region3 --> scFormation[11]                Jan 01 2024 01:37:45.527343750   Jan 01 2024 01:39:03.457031250       1.298828125
Region3 --> scFormation[10]                Jan 01 2024 01:47:35.859375000   Jan 01 2024 01:48:46.757812500       1.181640625
Region3 --> scFormation[19]                Jan 01 2024 01:57:27.070312500   Jan 01 2024 01:58:29.472656250       1.040039063
Region3 --> scFormation[18]                Jan 01 2024 02:07:19.042968750   Jan 01 2024 02:08:11.835937500       0.879882813
Region3 --> scFormation[17]                Jan 01 2024 02:17:11.425781250   Jan 01 2024 02:17:53.964843750       0.708984375
Region3 --> scFormation[16]                Jan 01 2024 02:27:04.218750000   Jan 01 2024 02:27:35.917968750       0.528320313
Region3 --> scFormation[15]                Jan 01 2024 02:36:56.718750000   Jan 01 2024 02:37:18.339843750       0.360351563
Region3 --> scFormation[14]                Jan 01 2024 02:46:47.519531250   Jan 01 2024 02:47:02.519531250       0.250000000
Region3 --> scFormation[13]                Jan 01 2024 02:56:33.925781250   Jan 01 2024 02:56:51.152343750       0.287109375
Region3 --> scFormation[12]                Jan 01 2024 03:06:17.226562500   Jan 01 2024 03:06:42.832031250       0.426757813
Region3 --> scFormation[11]                Jan 01 2024 03:15:59.355468750   Jan 01 2024 03:16:35.449218750       0.601562500
Region3 --> scFormation[10]                Jan 01 2024 03:25:41.484375000   Jan 01 2024 03:26:28.007812500       0.775390625
Region3 --> scFormation[19]                Jan 01 2024 03:35:23.671875000   Jan 01 2024 03:36:20.390625000       0.945312500
Region3 --> scFormation[18]                Jan 01 2024 03:45:06.152343750   Jan 01 2024 03:46:12.011718750       1.097656250
Region3 --> scFormation[17]                Jan 01 2024 03:54:49.101562500   Jan 01 2024 03:56:02.929687500       1.230468750
Region3 --> scFormation[16]                Jan 01 2024 04:04:32.636718750   Jan 01 2024 04:05:52.792968750       1.335937500
Region3 --> scFormation[15]                Jan 01 2024 04:14:16.933593750   Jan 01 2024 04:15:41.484375000       1.409179688
Region3 --> scFormation[14]                Jan 01 2024 04:24:02.343750000   Jan 01 2024 04:25:28.652343750       1.438476563
Region3 --> scFormation[13]                Jan 01 2024 04:33:49.160156250   Jan 01 2024 04:35:13.886718750       1.412109375
Region3 --> scFormation[12]                Jan 01 2024 04:43:37.968750000   Jan 01 2024 04:44:56.484375000       1.308593750
Region3 --> scFormation[11]                Jan 01 2024 04:53:30.175781250   Jan 01 2024 04:54:35.214843750       1.083984375
